model_group,signal,setting,coverage,width
dae_lam0.1w5,g,normalized,0.9019,0.1743
dae_lam0.1w5,d,normalized,0.8999,0.1758
dae_lam0.1w5,r_A,normalized,0.8994,0.1768
dae_lam0.1w5,dis,normalized,0.9010,0.1758
dae_lam0.1w5,g2,normalized,0.9012,0.1721
dae_lam0.1w5,q,normalized,0.9009,0.1816
dae_lam0.1w5,-,marginal,0.9013,0.1815
dae_lam0.1w5,-,severity,0.9018,0.1383
dae_lam0,g,normalized,0.9010,0.1737
dae_lam0,d,normalized,0.9001,0.1774
dae_lam0,r_A,normalized,0.8999,0.1783
dae_lam0,dis,normalized,0.9013,0.1753
dae_lam0,g2,normalized,0.9012,0.1724
dae_lam0,q,normalized,0.9013,0.1816
dae_lam0,-,marginal,0.9012,0.1824
dae_lam0,-,severity,0.9009,0.1379
dae_lam1,g,normalized,0.9089,0.2750
dae_lam1,d,normalized,0.9096,0.2586
dae_lam1,r_A,normalized,0.9099,0.2691
dae_lam1,g2,normalized,0.9139,0.2856
dae_lam1,q,normalized,0.9096,0.2753
dae_lam1,-,marginal,0.9138,0.2858
dae_lam1,-,severity,0.9138,0.2858
dae_lam1w5_inner,g,normalized,0.9002,0.1737
dae_lam1w5_inner,d,normalized,0.8996,0.1900
dae_lam1w5_inner,r_A,normalized,0.9002,0.1813
dae_lam1w5_inner,dis,normalized,0.9004,0.1866
dae_lam1w5_inner,g2,normalized,0.9011,0.1758
dae_lam1w5_inner,q,normalized,0.9011,0.1902
dae_lam1w5_inner,-,marginal,0.9011,0.1880
dae_lam1w5_inner,-,severity,0.9035,0.1464
dae_lam1w5,g,normalized,0.9025,0.1750
dae_lam1w5,d,normalized,0.9001,0.1773
dae_lam1w5,r_A,normalized,0.8991,0.1811
dae_lam1w5,dis,normalized,0.9021,0.1856
dae_lam1w5,g2,normalized,0.9020,0.1716
dae_lam1w5,q,normalized,0.9018,0.1864
dae_lam1w5,-,marginal,0.9021,0.1844
dae_lam1w5,-,severity,0.9020,0.1431
dae_lam1w5_outer,g,normalized,0.9022,0.1748
dae_lam1w5_outer,d,normalized,0.9002,0.1743
dae_lam1w5_outer,r_A,normalized,0.8988,0.1773
dae_lam1w5_outer,dis,normalized,0.9014,0.1798
dae_lam1w5_outer,g2,normalized,0.9017,0.1713
dae_lam1w5_outer,q,normalized,0.9014,0.1816
dae_lam1w5_outer,-,marginal,0.9015,0.1836
dae_lam1w5_outer,-,severity,0.9029,0.1422
unet_lam0,g,normalized,0.9002,0.1734
unet_lam0,d,normalized,0.9011,0.1699
unet_lam0,r_A,normalized,0.9006,0.1715
unet_lam0,dis,normalized,0.8991,0.1786
unet_lam0,g2,normalized,0.8986,0.1735
unet_lam0,q,normalized,0.9003,0.1707
unet_lam0,-,marginal,0.9018,0.1703
unet_lam0,-,severity,0.9022,0.1289
unet_lam1,g,normalized,0.9019,0.4138
unet_lam1,d,normalized,0.9026,0.4129
unet_lam1,r_A,normalized,0.9026,0.4129
unet_lam1,g2,normalized,0.9104,0.4663
unet_lam1,-,marginal,0.9104,0.4663
unet_lam1,-,severity,0.9104,0.4663
unet_lam1w5,g,normalized,0.9002,0.1809
unet_lam1w5,d,normalized,0.9012,0.1726
unet_lam1w5,r_A,normalized,0.9006,0.1760
unet_lam1w5,dis,normalized,0.9011,0.1725
unet_lam1w5,g2,normalized,0.9017,0.1847
unet_lam1w5,q,normalized,0.9013,0.1678
unet_lam1w5,-,marginal,0.9017,0.1698
unet_lam1w5,-,severity,0.9028,0.1271
