signal,setting,coverage,width,q_hat,group,n,model,model_group
g,normalized,0.9030,0.1768,1.9378,,,dae_lam0.1w5_seed0,dae_lam0.1w5
g,normalized/condition,0.9988,0.1425,,noise(sigma=0.1),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
g,normalized/condition,1.0000,0.1642,,noise(sigma=0.2),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
g,normalized/condition,1.0000,0.1885,,noise(sigma=0.3),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
g,normalized/condition,1.0000,0.2235,,noise(sigma=0.5),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
g,normalized/condition,0.9968,0.1329,,blur(std=0.5),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
g,normalized/condition,0.9970,0.1609,,blur(std=1),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
g,normalized/condition,0.9988,0.1864,,blur(std=1.5),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
g,normalized/condition,0.9982,0.2008,,blur(std=2),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
g,normalized/condition,0.9964,0.1634,,pixel_mask(drop=0.25),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
g,normalized/condition,0.6036,0.1716,,pixel_mask(drop=0.5),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
g,normalized/condition,0.2190,0.1663,,pixel_mask(drop=0.75),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
g,normalized/condition,1.0000,0.1924,,box_mask(size=8),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
g,normalized/condition,0.9304,0.2045,,box_mask(size=14),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
g,normalized/family,0.9997,0.1797,,noise,20000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
g,normalized/family,0.9977,0.1702,,blur,20000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
g,normalized/family,0.6063,0.1671,,pixel_mask,15000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
g,normalized/family,0.9652,0.1985,,box_mask,10000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
d,normalized,0.9003,0.1756,1.9264,,,dae_lam0.1w5_seed0,dae_lam0.1w5
d,normalized/condition,1.0000,0.1947,,noise(sigma=0.1),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
d,normalized/condition,1.0000,0.2030,,noise(sigma=0.2),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
d,normalized/condition,0.9998,0.2030,,noise(sigma=0.3),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
d,normalized/condition,1.0000,0.2034,,noise(sigma=0.5),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
d,normalized/condition,0.9998,0.1291,,blur(std=0.5),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
d,normalized/condition,0.9986,0.1494,,blur(std=1),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
d,normalized/condition,0.9952,0.1531,,blur(std=1.5),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
d,normalized/condition,0.9774,0.1509,,blur(std=2),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
d,normalized/condition,0.9990,0.1957,,pixel_mask(drop=0.25),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
d,normalized/condition,0.7164,0.1963,,pixel_mask(drop=0.5),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
d,normalized/condition,0.3510,0.1815,,pixel_mask(drop=0.75),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
d,normalized/condition,0.9996,0.1643,,box_mask(size=8),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
