model_group,signal,group,coverage,width
dae_lam0.1w5,g,noise,0.9994,0.1746
dae_lam0.1w5,g,blur,0.9967,0.1678
dae_lam0.1w5,g,pixel_mask,0.6064,0.1665
dae_lam0.1w5,g,box_mask,0.9619,0.1984
dae_lam0.1w5,d,noise,0.9999,0.2029
dae_lam0.1w5,d,blur,0.9937,0.1437
dae_lam0.1w5,d,pixel_mask,0.6858,0.1917
dae_lam0.1w5,d,box_mask,0.8348,0.1624
dae_lam0.1w5,r_A,noise,0.9998,0.1996
dae_lam0.1w5,r_A,blur,0.9950,0.1441
dae_lam0.1w5,r_A,pixel_mask,0.6520,0.1877
dae_lam0.1w5,r_A,box_mask,0.8839,0.1824
dae_lam0.1w5,dis,noise,1.0000,0.1855
dae_lam0.1w5,dis,blur,0.9987,0.1584
dae_lam0.1w5,dis,pixel_mask,0.5904,0.1681
dae_lam0.1w5,dis,box_mask,0.9752,0.2032
dae_lam0.1w5,g2,noise,0.9988,0.1662
dae_lam0.1w5,g2,blur,0.9960,0.1670
dae_lam0.1w5,g2,pixel_mask,0.5999,0.1662
dae_lam0.1w5,g2,box_mask,0.9738,0.2071
dae_lam0.1w5,q,noise,0.9989,0.1800
dae_lam0.1w5,q,blur,0.9977,0.1814
dae_lam0.1w5,q,pixel_mask,0.6641,0.1820
dae_lam0.1w5,q,box_mask,0.8689,0.1819
dae_lam0,g,noise,0.9991,0.1716
dae_lam0,g,blur,0.9964,0.1674
dae_lam0,g,pixel_mask,0.6057,0.1685
dae_lam0,g,box_mask,0.9570,0.1983
dae_lam0,d,noise,0.9999,0.2038
dae_lam0,d,blur,0.9957,0.1465
dae_lam0,d,pixel_mask,0.6833,0.1926
dae_lam0,d,box_mask,0.8358,0.1639
dae_lam0,r_A,noise,0.9998,0.2013
dae_lam0,r_A,blur,0.9959,0.1454
dae_lam0,r_A,pixel_mask,0.6520,0.1892
dae_lam0,r_A,box_mask,0.8828,0.1833
dae_lam0,dis,noise,1.0000,0.1836
