model,model_group,signal,coverage,width,q_hat,n_fit,n_cal,n_deploy
dae_lam0.1w5_seed0,dae_lam0.1w5,g,0.4560,0.0744,1.3562,5000,5000,55000
dae_lam0.1w5_seed0,dae_lam0.1w5,d,0.1972,0.0770,1.3469,5000,5000,55000
dae_lam0.1w5_seed0,dae_lam0.1w5,r_A,0.1953,0.0689,1.3469,5000,5000,55000
dae_lam0.1w5_seed0,dae_lam0.1w5,dis,0.3849,0.0724,1.3490,5000,5000,55000
dae_lam0.1w5_seed0,dae_lam0.1w5,g2,0.4393,0.0715,1.4150,5000,5000,55000
dae_lam0.1w5_seed0,dae_lam0.1w5,q,0.4213,0.0703,1.5801,5000,5000,55000
dae_lam0.1w5_seed1,dae_lam0.1w5,g,0.4807,0.0768,1.3603,5000,5000,55000
dae_lam0.1w5_seed1,dae_lam0.1w5,d,0.1908,0.0769,1.3443,5000,5000,55000
dae_lam0.1w5_seed1,dae_lam0.1w5,r_A,0.1888,0.0680,1.3443,5000,5000,55000
dae_lam0.1w5_seed1,dae_lam0.1w5,dis,0.3982,0.0740,1.3381,5000,5000,55000
dae_lam0.1w5_seed1,dae_lam0.1w5,g2,0.4566,0.0738,1.4013,5000,5000,55000
dae_lam0.1w5_seed1,dae_lam0.1w5,q,0.4264,0.0710,1.5735,5000,5000,55000
dae_lam0_seed0,dae_lam0,g,0.4670,0.0741,1.3549,5000,5000,55000
dae_lam0_seed0,dae_lam0,d,0.1907,0.0760,1.3463,5000,5000,55000
dae_lam0_seed0,dae_lam0,r_A,0.1888,0.0675,1.3463,5000,5000,55000
dae_lam0_seed0,dae_lam0,dis,0.4013,0.0726,1.3539,5000,5000,55000
dae_lam0_seed0,dae_lam0,g2,0.4368,0.0710,1.4163,5000,5000,55000
dae_lam0_seed0,dae_lam0,q,0.4304,0.0705,1.5788,5000,5000,55000
dae_lam0_seed1,dae_lam0,g,0.4669,0.0763,1.3596,5000,5000,55000
dae_lam0_seed1,dae_lam0,d,0.1954,0.0774,1.3456,5000,5000,55000
dae_lam0_seed1,dae_lam0,r_A,0.1935,0.0690,1.3456,5000,5000,55000
dae_lam0_seed1,dae_lam0,dis,0.4015,0.0736,1.3505,5000,5000,55000
dae_lam0_seed1,dae_lam0,g2,0.4481,0.0734,1.4186,5000,5000,55000
dae_lam0_seed1,dae_lam0,q,0.4143,0.0700,1.5844,5000,5000,55000
dae_lam0_seed2,dae_lam0,g,0.5047,0.0778,1.3624,5000,5000,55000
dae_lam0_seed2,dae_lam0,d,0.1884,0.0775,1.3427,5000,5000,55000
dae_lam0_seed2,dae_lam0,r_A,0.1860,0.0679,1.3427,5000,5000,55000
dae_lam0_seed2,dae_lam0,dis,0.4167,0.0761,1.3390,5000,5000,55000
dae_lam0_seed2,dae_lam0,g2,0.4701,0.0750,1.4085,5000,5000,55000
