model,model_group,signal,coverage,width,q_hat,coverage_supervised,width_supervised
dae_lam0.1w5_seed0,dae_lam0.1w5,g,0.9449,0.0222,1.7934,0.8986,0.0188
dae_lam0.1w5_seed0,dae_lam0.1w5,d,0.8822,0.0204,1.6582,0.9005,0.0193
dae_lam0.1w5_seed0,dae_lam0.1w5,r_A,0.8822,0.0204,1.6582,0.9005,0.0193
dae_lam0.1w5_seed0,dae_lam0.1w5,dis,0.9356,0.0218,1.7787,0.8925,0.0189
dae_lam0.1w5_seed0,dae_lam0.1w5,g2,0.9472,0.0236,1.9149,0.8991,0.0198
dae_lam0.1w5_seed0,dae_lam0.1w5,q,0.9291,0.0263,2.1422,0.8972,0.0231
dae_lam0.1w5_seed1,dae_lam0.1w5,g,0.9371,0.0235,1.7725,0.8946,0.0203
dae_lam0.1w5_seed1,dae_lam0.1w5,d,0.8875,0.0218,1.6425,0.8980,0.0204
dae_lam0.1w5_seed1,dae_lam0.1w5,r_A,0.8875,0.0218,1.6425,0.8980,0.0204
dae_lam0.1w5_seed1,dae_lam0.1w5,dis,0.9371,0.0231,1.7432,0.8961,0.0202
dae_lam0.1w5_seed1,dae_lam0.1w5,g2,0.9432,0.0249,1.8849,0.8959,0.0212
dae_lam0.1w5_seed1,dae_lam0.1w5,q,0.9255,0.0280,2.1097,0.9012,0.0252
dae_lam0_seed0,dae_lam0,g,0.9425,0.0220,1.7729,0.8938,0.0187
dae_lam0_seed0,dae_lam0,d,0.8844,0.0205,1.6611,0.8992,0.0193
dae_lam0_seed0,dae_lam0,r_A,0.8844,0.0205,1.6611,0.8992,0.0193
dae_lam0_seed0,dae_lam0,dis,0.9389,0.0218,1.7733,0.8980,0.0189
dae_lam0_seed0,dae_lam0,g2,0.9511,0.0240,1.9410,0.8961,0.0196
dae_lam0_seed0,dae_lam0,q,0.9310,0.0264,2.1421,0.8992,0.0233
dae_lam0_seed1,dae_lam0,g,0.9434,0.0230,1.7782,0.9016,0.0198
dae_lam0_seed1,dae_lam0,d,0.8873,0.0213,1.6535,0.9020,0.0201
dae_lam0_seed1,dae_lam0,r_A,0.8873,0.0213,1.6535,0.9020,0.0201
dae_lam0_seed1,dae_lam0,dis,0.9394,0.0225,1.7498,0.8996,0.0197
dae_lam0_seed1,dae_lam0,g2,0.9479,0.0248,1.9262,0.8956,0.0207
dae_lam0_seed1,dae_lam0,q,0.9270,0.0269,2.0957,0.9023,0.0242
dae_lam0_seed2,dae_lam0,g,0.9414,0.0235,1.7728,0.8914,0.0200
dae_lam0_seed2,dae_lam0,d,0.8893,0.0221,1.6650,0.9025,0.0208
dae_lam0_seed2,dae_lam0,r_A,0.8893,0.0221,1.6650,0.9025,0.0208
dae_lam0_seed2,dae_lam0,dis,0.9372,0.0229,1.7330,0.8967,0.0202
dae_lam0_seed2,dae_lam0,g2,0.9454,0.0255,1.9185,0.8965,0.0214
dae_lam0_seed2,dae_lam0,q,0.9282,0.0278,2.1144,0.8984,0.0248
dae_lam1_seed0,dae_lam1,g,0.9159,0.1611,1.5557,0.9132,0.1596
dae_lam1_seed0,dae_lam1,d,0.9103,0.1484,1.4355,0.9118,0.1480
dae_lam1_seed0,dae_lam1,r_A,0.9103,0.1484,1.4355,0.9118,0.1480
dae_lam1_seed0,dae_lam1,g2,0.9171,0.1676,1.6158,0.9127,0.1661
dae_lam1_seed0,dae_lam1,q,0.9152,0.1617,1.5632,0.9114,0.1603
dae_lam1w5_inner_seed0,dae_lam1w5_inner,g,0.9342,0.0264,1.7752,0.9012,0.0234
