model_group,signal,marginal,normalized,severity
dae_lam0,-,0.1824,,0.1379
dae_lam0,d,,0.1774,
dae_lam0,dis,,0.1753,
dae_lam0,g,,0.1737,
dae_lam0,g2,,0.1724,
dae_lam0,q,,0.1816,
dae_lam0,r_A,,0.1783,
dae_lam0.1w5,-,0.1815,,0.1383
dae_lam0.1w5,d,,0.1758,
dae_lam0.1w5,dis,,0.1758,
dae_lam0.1w5,g,,0.1743,
dae_lam0.1w5,g2,,0.1721,
dae_lam0.1w5,q,,0.1816,
dae_lam0.1w5,r_A,,0.1768,
dae_lam1,-,0.2858,,0.2858
dae_lam1,d,,0.2586,
dae_lam1,g,,0.2750,
dae_lam1,g2,,0.2856,
dae_lam1,q,,0.2753,
dae_lam1,r_A,,0.2691,
dae_lam1w5,-,0.1844,,0.1431
dae_lam1w5,d,,0.1773,
dae_lam1w5,dis,,0.1856,
dae_lam1w5,g,,0.1750,
dae_lam1w5,g2,,0.1716,
dae_lam1w5,q,,0.1864,
dae_lam1w5,r_A,,0.1811,
dae_lam1w5_inner,-,0.1880,,0.1464
dae_lam1w5_inner,d,,0.1900,
dae_lam1w5_inner,dis,,0.1866,
dae_lam1w5_inner,g,,0.1737,
dae_lam1w5_inner,g2,,0.1758,
dae_lam1w5_inner,q,,0.1902,
dae_lam1w5_inner,r_A,,0.1813,
dae_lam1w5_outer,-,0.1836,,0.1422
dae_lam1w5_outer,d,,0.1743,
dae_lam1w5_outer,dis,,0.1798,
dae_lam1w5_outer,g,,0.1748,
dae_lam1w5_outer,g2,,0.1713,
dae_lam1w5_outer,q,,0.1816,
dae_lam1w5_outer,r_A,,0.1773,
unet_lam0,-,0.1703,,0.1289
unet_lam0,d,,0.1699,
unet_lam0,dis,,0.1786,
unet_lam0,g,,0.1734,
unet_lam0,g2,,0.1735,
unet_lam0,q,,0.1707,
unet_lam0,r_A,,0.1715,
unet_lam1,-,0.4663,,0.4663
unet_lam1,d,,0.4129,
unet_lam1,g,,0.4138,
unet_lam1,g2,,0.4663,
unet_lam1,r_A,,0.4129,
unet_lam1w5,-,0.1698,,0.1271
unet_lam1w5,d,,0.1726,
unet_lam1w5,dis,,0.1725,
unet_lam1w5,g,,0.1809,
unet_lam1w5,g2,,0.1847,
unet_lam1w5,q,,0.1678,
unet_lam1w5,r_A,,0.1760,
