model_group,family,share_of_worst,recall_g,recall_d,recall_r_A
dae_lam0,all,1.0000,0.3960,0.2053,0.0761
dae_lam0,noise,0.0273,0.8234,0.9080,1.0000
dae_lam0,blur,0.1347,0.6476,0.0002,0.0039
dae_lam0,pixel_mask,0.5969,0.1812,0.3017,0.0760
dae_lam0,box_mask,0.2411,0.7359,0.0020,0.0120
dae_lam1,all,1.0000,0.3637,0.4631,0.4216
dae_lam1,noise,0.3077,0.6798,0.9262,0.9822
dae_lam1,blur,0.3077,0.1008,0.2092,0.2902
dae_lam1,pixel_mask,0.2308,0.4223,0.1176,0.0161
dae_lam1,box_mask,0.1538,0.1692,0.5628,0.1716
dae_lam1w5,all,1.0000,0.3848,0.2286,0.0909
dae_lam1w5,noise,0.0461,0.8130,0.9042,1.0000
dae_lam1w5,blur,0.0979,0.6185,0.0004,0.0072
dae_lam1w5,pixel_mask,0.6036,0.1024,0.3069,0.0660
dae_lam1w5,box_mask,0.2524,0.8880,0.0048,0.0170
