condition,model_group,e,e_min,e_max,frac_improved,g
noise(sigma=0.1),dae_lam0,0.0434,0.0423,0.0448,0.9431,0.0106
noise(sigma=0.1),dae_lam1,0.2095,0.2095,0.2095,0.0000,0.0000
noise(sigma=0.1),dae_lam1w5,0.0504,0.0482,0.0521,0.9033,0.0061
noise(sigma=0.2),dae_lam0,0.0468,0.0458,0.0481,0.9985,0.0120
noise(sigma=0.2),dae_lam1,0.2095,0.2095,0.2095,0.1546,0.0000
noise(sigma=0.2),dae_lam1w5,0.0530,0.0510,0.0544,0.9975,0.0069
noise(sigma=0.3),dae_lam0,0.0523,0.0514,0.0533,1.0000,0.0143
noise(sigma=0.3),dae_lam1,0.2095,0.2095,0.2095,0.7651,0.0000
noise(sigma=0.3),dae_lam1w5,0.0572,0.0554,0.0581,1.0000,0.0081
noise(sigma=0.5),dae_lam0,0.0697,0.0676,0.0714,1.0000,0.0214
noise(sigma=0.5),dae_lam1,0.2095,0.2095,0.2095,0.9951,0.0000
noise(sigma=0.5),dae_lam1w5,0.0758,0.0691,0.0884,1.0000,0.0151
blur(std=0.5),dae_lam0,0.0436,0.0424,0.0451,0.2566,0.0101
blur(std=0.5),dae_lam1,0.2095,0.2095,0.2095,0.0000,0.0000
blur(std=0.5),dae_lam1w5,0.0507,0.0486,0.0526,0.1450,0.0056
blur(std=1),dae_lam0,0.0573,0.0565,0.0579,0.9041,0.0120
blur(std=1),dae_lam1,0.2095,0.2095,0.2095,0.0000,0.0000
blur(std=1),dae_lam1w5,0.0602,0.0591,0.0616,0.8076,0.0065
blur(std=1.5),dae_lam0,0.0783,0.0768,0.0793,0.9758,0.0151
blur(std=1.5),dae_lam1,0.2095,0.2095,0.2095,0.0000,0.0000
blur(std=1.5),dae_lam1w5,0.0761,0.0735,0.0783,0.9565,0.0081
blur(std=2),dae_lam0,0.0988,0.0956,0.1005,0.9699,0.0180
blur(std=2),dae_lam1,0.2095,0.2095,0.2095,0.0001,0.0000
blur(std=2),dae_lam1w5,0.0940,0.0910,0.0977,0.9824,0.0099
pixel_mask(drop=0.25),dae_lam0,0.0908,0.0903,0.0912,0.3543,0.0123
pixel_mask(drop=0.25),dae_lam1,0.2095,0.2095,0.2095,0.0000,0.0000
pixel_mask(drop=0.25),dae_lam1w5,0.0968,0.0947,0.0983,0.1745,0.0064
pixel_mask(drop=0.5),dae_lam0,0.1619,0.1595,0.1635,0.0790,0.0136
pixel_mask(drop=0.5),dae_lam1,0.2095,0.2095,0.2095,0.1328,0.0000
pixel_mask(drop=0.5),dae_lam1w5,0.1644,0.1632,0.1659,0.0301,0.0069
pixel_mask(drop=0.75),dae_lam0,0.2340,0.2320,0.2362,0.0035,0.0135
pixel_mask(drop=0.75),dae_lam1,0.2095,0.2095,0.2095,0.5813,0.0000
pixel_mask(drop=0.75),dae_lam1w5,0.2324,0.2300,0.2338,0.0024,0.0068
box_mask(size=8),dae_lam0,0.0737,0.0720,0.0758,0.0114,0.0168
box_mask(size=8),dae_lam1,0.2095,0.2095,0.2095,0.0000,0.0000
box_mask(size=8),dae_lam1w5,0.0795,0.0786,0.0809,0.0061,0.0126
box_mask(size=14),dae_lam0,0.1427,0.1400,0.1466,0.0156,0.0197
box_mask(size=14),dae_lam1,0.2095,0.2095,0.2095,0.0264,0.0000
box_mask(size=14),dae_lam1w5,0.1453,0.1437,0.1483,0.0114,0.0154
