model_group,family,share_of_worst,recall_g,recall_d,recall_r_A
dae_lam0.1w5,all,1.0000,0.3707,0.2058,0.0795
dae_lam0.1w5,noise,0.0282,0.8463,0.9138,1.0000
dae_lam0.1w5,blur,0.1375,0.6998,0.0002,0.0031
dae_lam0.1w5,pixel_mask,0.5988,0.1310,0.2997,0.0807
dae_lam0.1w5,box_mask,0.2355,0.7317,0.0021,0.0106
dae_lam1w5_inner,all,1.0000,0.4299,0.2080,0.0741
dae_lam1w5_inner,noise,0.0332,0.7599,0.8679,1.0000
dae_lam1w5_inner,blur,0.1406,0.4275,0.0004,0.0070
dae_lam1w5_inner,pixel_mask,0.5889,0.2241,0.3019,0.0604
dae_lam1w5_inner,box_mask,0.2374,0.8920,0.0059,0.0187
dae_lam1w5,all,1.0000,0.3848,0.2286,0.0909
dae_lam1w5,noise,0.0461,0.8130,0.9042,1.0000
dae_lam1w5,blur,0.0979,0.6185,0.0004,0.0072
dae_lam1w5,pixel_mask,0.6036,0.1024,0.3069,0.0660
dae_lam1w5,box_mask,0.2524,0.8880,0.0048,0.0170
