scope,group,model_group,signal,spearman,partial,auroc
family,noise,dae_lam0.1w5,b,0.0450,,0.5245
family,noise,dae_lam0.1w5,g,0.8032,0.8042,0.8923
family,noise,dae_lam0.1w5,d,0.6018,0.6034,0.7914
family,noise,dae_lam0.1w5,r_A,0.6018,0.6034,0.7914
family,noise,dae_lam0.1w5,div,0.4516,0.4501,0.7182
family,noise,dae_lam0.1w5,g_lin,0.7608,0.7610,0.8684
family,noise,dae_lam0.1w5,sure,0.7162,0.7199,0.8572
family,noise,dae_lam0.1w5,b@level,0.2858,0.2861,0.6076
family,noise,dae_lam0.1w5,g@level,0.4728,0.4733,0.7258
family,noise,dae_lam0.1w5,d@level,0.4728,0.4733,0.7258
family,noise,dae_lam0.1w5,r_A@level,0.4728,0.4733,0.7258
family,noise,dae_lam0.1w5,div@level,0.4728,0.4733,0.7258
family,noise,dae_lam0.1w5,g_lin@level,0.4728,0.4733,0.7258
family,noise,dae_lam0.1w5,sure@level,0.4728,0.4733,0.7258
family,noise,dae_lam1w5_inner,b,0.0966,,0.5544
family,noise,dae_lam1w5_inner,g,0.6907,0.7021,0.8414
family,noise,dae_lam1w5_inner,d,0.4057,0.4076,0.6872
family,noise,dae_lam1w5_inner,r_A,0.4057,0.4076,0.6872
family,noise,dae_lam1w5_inner,div,0.3292,0.3317,0.6602
family,noise,dae_lam1w5_inner,g_lin,0.6681,0.6746,0.8253
family,noise,dae_lam1w5_inner,sure,0.7163,0.7180,0.8651
family,noise,dae_lam1w5_inner,b@level,0.1313,0.1318,0.5484
family,noise,dae_lam1w5_inner,g@level,0.2330,0.2340,0.5972
family,noise,dae_lam1w5_inner,d@level,0.2330,0.2340,0.5972
family,noise,dae_lam1w5_inner,r_A@level,0.2330,0.2340,0.5972
family,noise,dae_lam1w5_inner,div@level,0.2330,0.2340,0.5972
family,noise,dae_lam1w5_inner,g_lin@level,0.2330,0.2340,0.5972
family,noise,dae_lam1w5_inner,sure@level,0.2330,0.2340,0.5972
family,noise,dae_lam1w5,b,0.0572,,0.5242
family,noise,dae_lam1w5,g,0.7012,0.7007,0.8499
family,noise,dae_lam1w5,d,0.5410,0.5425,0.7577
family,noise,dae_lam1w5,r_A,0.5410,0.5425,0.7577
family,noise,dae_lam1w5,div,0.2098,0.2063,0.5892
family,noise,dae_lam1w5,g_lin,0.6699,0.6720,0.8263
family,noise,dae_lam1w5,sure,0.7408,0.7421,0.8739
family,noise,dae_lam1w5,b@level,0.2188,0.2192,0.5819
family,noise,dae_lam1w5,g@level,0.3864,0.3870,0.6771
family,noise,dae_lam1w5,d@level,0.3864,0.3870,0.6771
family,noise,dae_lam1w5,r_A@level,0.3864,0.3870,0.6771
family,noise,dae_lam1w5,div@level,-0.2791,-0.2793,0.3612
family,noise,dae_lam1w5,g_lin@level,0.3864,0.3870,0.6771
family,noise,dae_lam1w5,sure@level,0.3864,0.3870,0.6771
family,blur,dae_lam0.1w5,b,0.2356,,0.6736
family,blur,dae_lam0.1w5,g,0.7516,0.7473,0.8736
family,blur,dae_lam0.1w5,d,0.6432,0.6742,0.8223
family,blur,dae_lam0.1w5,r_A,0.6128,0.5830,0.8371
family,blur,dae_lam0.1w5,b@level,-0.7198,-0.7471,0.1625
family,blur,dae_lam0.1w5,g@level,0.7198,0.7471,0.8376
family,blur,dae_lam0.1w5,d@level,0.5990,0.6212,0.7160
family,blur,dae_lam0.1w5,r_A@level,0.3019,0.3136,0.7505
family,blur,dae_lam1w5_inner,b,0.2658,,0.6752
family,blur,dae_lam1w5_inner,g,0.6193,0.6193,0.7880
family,blur,dae_lam1w5_inner,d,0.7914,0.8247,0.8901
family,blur,dae_lam1w5_inner,r_A,0.7085,0.6815,0.8546
family,blur,dae_lam1w5_inner,b@level,-0.6155,-0.6459,0.2082
family,blur,dae_lam1w5_inner,g@level,0.6155,0.6459,0.7918
family,blur,dae_lam1w5_inner,d@level,0.6155,0.6459,0.7918
family,blur,dae_lam1w5_inner,r_A@level,0.1819,0.1914,0.6619
family,blur,dae_lam1w5,b,0.2135,,0.6474
family,blur,dae_lam1w5,g,0.7167,0.7051,0.8570
family,blur,dae_lam1w5,d,0.6896,0.7411,0.8433
family,blur,dae_lam1w5,r_A,0.5614,0.5319,0.7940
family,blur,dae_lam1w5,b@level,-0.6196,-0.6401,0.2120
family,blur,dae_lam1w5,g@level,0.6196,0.6401,0.7880
family,blur,dae_lam1w5,d@level,0.6196,0.6401,0.7880
family,blur,dae_lam1w5,r_A@level,0.0701,0.0726,0.6084
family,pixel_mask,dae_lam0.1w5,b,0.0469,,0.5141
family,pixel_mask,dae_lam0.1w5,g,0.5652,0.5997,0.7739
family,pixel_mask,dae_lam0.1w5,d,0.5592,0.9198,0.7694
family,pixel_mask,dae_lam0.1w5,r_A,0.5472,0.8832,0.7728
family,pixel_mask,dae_lam0.1w5,b@level,-0.6518,-0.9281,0.1955
family,pixel_mask,dae_lam0.1w5,g@level,0.5279,0.6804,0.7195
family,pixel_mask,dae_lam0.1w5,d@level,-0.2468,-0.2939,0.3337
family,pixel_mask,dae_lam0.1w5,r_A@level,-0.2468,-0.2939,0.3337
family,pixel_mask,dae_lam1w5_inner,b,0.0207,,0.5098
family,pixel_mask,dae_lam1w5_inner,g,0.5080,0.5101,0.7449
