condition,model_group,signal,spearman,spearman_min,spearman_max,partial,partial_min,partial_max,auroc
noise(sigma=0.1),dae_lam0.1w5,b,0.0196,0.0101,0.0286,,,,0.5088
noise(sigma=0.1),dae_lam0.1w5,g,0.7400,0.7359,0.7448,0.7425,0.7361,0.7476,0.8644
noise(sigma=0.1),dae_lam0.1w5,d,0.9322,0.9273,0.9370,0.9409,0.9365,0.9449,0.9812
noise(sigma=0.1),dae_lam0.1w5,r_A,0.9322,0.9273,0.9370,0.9409,0.9365,0.9449,0.9812
noise(sigma=0.1),dae_lam0.1w5,div,0.4916,0.4602,0.5224,0.4918,0.4606,0.5219,0.7237
noise(sigma=0.1),dae_lam0.1w5,g_lin,0.7822,0.7648,0.8031,0.7823,0.7650,0.8029,0.8948
noise(sigma=0.1),dae_lam0.1w5,sure,0.9088,0.9055,0.9131,0.9154,0.9128,0.9185,0.9649
noise(sigma=0.1),dae_lam1w5_inner,b,0.0749,0.0644,0.0902,,,,0.5430
noise(sigma=0.1),dae_lam1w5_inner,g,0.6899,0.6703,0.7144,0.6987,0.6772,0.7174,0.8461
noise(sigma=0.1),dae_lam1w5_inner,d,0.9517,0.9491,0.9546,0.9587,0.9563,0.9619,0.9828
noise(sigma=0.1),dae_lam1w5_inner,r_A,0.9517,0.9491,0.9546,0.9587,0.9563,0.9619,0.9828
noise(sigma=0.1),dae_lam1w5_inner,div,0.3199,0.3063,0.3359,0.3214,0.3154,0.3326,0.6515
noise(sigma=0.1),dae_lam1w5_inner,g_lin,0.7661,0.7480,0.7761,0.7792,0.7645,0.7890,0.8854
noise(sigma=0.1),dae_lam1w5_inner,sure,0.9045,0.9004,0.9124,0.9083,0.9027,0.9171,0.9537
noise(sigma=0.1),dae_lam1w5,b,0.0364,0.0225,0.0457,,,,0.5171
noise(sigma=0.1),dae_lam1w5,g,0.6540,0.6411,0.6720,0.6559,0.6425,0.6761,0.8422
noise(sigma=0.1),dae_lam1w5,d,0.9496,0.9453,0.9552,0.9552,0.9516,0.9600,0.9837
noise(sigma=0.1),dae_lam1w5,r_A,0.9496,0.9453,0.9552,0.9552,0.9516,0.9600,0.9837
noise(sigma=0.1),dae_lam1w5,div,0.2860,0.2081,0.3360,0.2842,0.2077,0.3338,0.6286
noise(sigma=0.1),dae_lam1w5,g_lin,0.7682,0.7548,0.7752,0.7704,0.7576,0.7795,0.8914
noise(sigma=0.1),dae_lam1w5,sure,0.9160,0.9126,0.9225,0.9183,0.9149,0.9239,0.9617
noise(sigma=0.2),dae_lam0.1w5,b,0.0359,0.0286,0.0427,,,,0.5108
noise(sigma=0.2),dae_lam0.1w5,g,0.7337,0.7253,0.7479,0.7371,0.7253,0.7516,0.8617
noise(sigma=0.2),dae_lam0.1w5,d,0.7686,0.7549,0.7814,0.7775,0.7644,0.7892,0.9238
noise(sigma=0.2),dae_lam0.1w5,r_A,0.7686,0.7549,0.7814,0.7775,0.7644,0.7892,0.9238
noise(sigma=0.2),dae_lam0.1w5,div,0.4941,0.4617,0.5280,0.4932,0.4610,0.5268,0.7240
noise(sigma=0.2),dae_lam0.1w5,g_lin,0.7610,0.7360,0.8100,0.7616,0.7358,0.8099,0.8889
noise(sigma=0.2),dae_lam0.1w5,sure,0.8087,0.7999,0.8174,0.8150,0.8071,0.8226,0.9333
noise(sigma=0.2),dae_lam1w5_inner,b,0.0818,0.0698,0.0972,,,,0.5443
noise(sigma=0.2),dae_lam1w5_inner,g,0.6871,0.6754,0.7074,0.6969,0.6829,0.7121,0.8467
noise(sigma=0.2),dae_lam1w5_inner,d,0.8469,0.8391,0.8551,0.8532,0.8460,0.8616,0.9440
