model_group,family,share_of_worst,recall_g,recall_d,recall_r_A
dae_lam1w5_inner,all,1.0000,0.4299,0.2080,0.0741
dae_lam1w5_inner,noise,0.0332,0.7599,0.8679,1.0000
dae_lam1w5_inner,blur,0.1406,0.4275,0.0004,0.0070
dae_lam1w5_inner,pixel_mask,0.5889,0.2241,0.3019,0.0604
dae_lam1w5_inner,box_mask,0.2374,0.8920,0.0059,0.0187
dae_lam1w5,all,1.0000,0.3848,0.2286,0.0909
dae_lam1w5,noise,0.0461,0.8130,0.9042,1.0000
dae_lam1w5,blur,0.0979,0.6185,0.0004,0.0072
dae_lam1w5,pixel_mask,0.6036,0.1024,0.3069,0.0660
dae_lam1w5,box_mask,0.2524,0.8880,0.0048,0.0170
dae_lam1w5_outer,all,1.0000,0.3831,0.2461,0.1150
dae_lam1w5_outer,noise,0.0687,0.8863,0.9404,1.0000
dae_lam1w5_outer,blur,0.1089,0.6037,0.0003,0.0047
dae_lam1w5_outer,pixel_mask,0.5840,0.1104,0.3073,0.0730
dae_lam1w5_outer,box_mask,0.2385,0.7922,0.0022,0.0133
