condition,model_group,signal,spearman,spearman_min,spearman_max,partial,partial_min,partial_max,auroc
noise(sigma=0.1),dae_lam1w5_inner,b,0.0749,0.0644,0.0902,,,,0.5430
noise(sigma=0.1),dae_lam1w5_inner,g,0.6899,0.6703,0.7144,0.6987,0.6772,0.7174,0.8461
noise(sigma=0.1),dae_lam1w5_inner,d,0.9517,0.9491,0.9546,0.9587,0.9563,0.9619,0.9828
noise(sigma=0.1),dae_lam1w5_inner,r_A,0.9517,0.9491,0.9546,0.9587,0.9563,0.9619,0.9828
noise(sigma=0.1),dae_lam1w5_inner,div,0.3199,0.3063,0.3359,0.3214,0.3154,0.3326,0.6515
noise(sigma=0.1),dae_lam1w5_inner,g_lin,0.7661,0.7480,0.7761,0.7792,0.7645,0.7890,0.8854
noise(sigma=0.1),dae_lam1w5_inner,sure,0.9045,0.9004,0.9124,0.9083,0.9027,0.9171,0.9537
noise(sigma=0.1),dae_lam1w5,b,0.0364,0.0225,0.0457,,,,0.5171
noise(sigma=0.1),dae_lam1w5,g,0.6540,0.6411,0.6720,0.6559,0.6425,0.6761,0.8422
noise(sigma=0.1),dae_lam1w5,d,0.9496,0.9453,0.9552,0.9552,0.9516,0.9600,0.9837
noise(sigma=0.1),dae_lam1w5,r_A,0.9496,0.9453,0.9552,0.9552,0.9516,0.9600,0.9837
noise(sigma=0.1),dae_lam1w5,div,0.2860,0.2081,0.3360,0.2842,0.2077,0.3338,0.6286
noise(sigma=0.1),dae_lam1w5,g_lin,0.7682,0.7548,0.7752,0.7704,0.7576,0.7795,0.8914
noise(sigma=0.1),dae_lam1w5,sure,0.9160,0.9126,0.9225,0.9183,0.9149,0.9239,0.9617
noise(sigma=0.2),dae_lam1w5_inner,b,0.0818,0.0698,0.0972,,,,0.5443
noise(sigma=0.2),dae_lam1w5_inner,g,0.6871,0.6754,0.7074,0.6969,0.6829,0.7121,0.8467
noise(sigma=0.2),dae_lam1w5_inner,d,0.8469,0.8391,0.8551,0.8532,0.8460,0.8616,0.9440
noise(sigma=0.2),dae_lam1w5_inner,r_A,0.8469,0.8391,0.8551,0.8532,0.8460,0.8616,0.9440
noise(sigma=0.2),dae_lam1w5_inner,div,0.3182,0.3036,0.3348,0.3194,0.3124,0.3316,0.6526
noise(sigma=0.2),dae_lam1w5_inner,g_lin,0.7652,0.7459,0.7754,0.7750,0.7608,0.7862,0.8884
noise(sigma=0.2),dae_lam1w5_inner,sure,0.8495,0.8430,0.8590,0.8530,0.8471,0.8632,0.9351
noise(sigma=0.2),dae_lam1w5,b,0.0588,0.0433,0.0718,,,,0.5219
noise(sigma=0.2),dae_lam1w5,g,0.6229,0.6153,0.6379,0.6229,0.6144,0.6398,0.8304
noise(sigma=0.2),dae_lam1w5,d,0.8266,0.8129,0.8448,0.8327,0.8199,0.8492,0.9412
noise(sigma=0.2),dae_lam1w5,r_A,0.8266,0.8129,0.8448,0.8327,0.8199,0.8492,0.9412
noise(sigma=0.2),dae_lam1w5,div,0.2959,0.2081,0.3511,0.2919,0.2072,0.3470,0.6334
noise(sigma=0.2),dae_lam1w5,g_lin,0.7152,0.6745,0.7401,0.7239,0.6742,0.7535,0.8730
noise(sigma=0.2),dae_lam1w5,sure,0.8424,0.8335,0.8552,0.8451,0.8372,0.8568,0.9394
noise(sigma=0.3),dae_lam1w5_inner,b,0.0940,0.0813,0.1086,,,,0.5429
noise(sigma=0.3),dae_lam1w5_inner,g,0.6740,0.6571,0.6927,0.6863,0.6762,0.7009,0.8441
noise(sigma=0.3),dae_lam1w5_inner,d,0.6879,0.6757,0.6995,0.6910,0.6793,0.7025,0.8789
noise(sigma=0.3),dae_lam1w5_inner,r_A,0.6879,0.6757,0.6995,0.6910,0.6793,0.7025,0.8789
noise(sigma=0.3),dae_lam1w5_inner,div,0.3162,0.3033,0.3374,0.3171,0.3061,0.3343,0.6557
noise(sigma=0.3),dae_lam1w5_inner,g_lin,0.7354,0.6985,0.7573,0.7407,0.7078,0.7657,0.8796
noise(sigma=0.3),dae_lam1w5_inner,sure,0.7249,0.7133,0.7361,0.7267,0.7156,0.7385,0.8899
noise(sigma=0.3),dae_lam1w5,b,0.0909,0.0794,0.1062,,,,0.5321
noise(sigma=0.3),dae_lam1w5,g,0.5846,0.5758,0.5923,0.5814,0.5744,0.5882,0.8105
noise(sigma=0.3),dae_lam1w5,d,0.6487,0.6284,0.6766,0.6535,0.6340,0.6794,0.8677
noise(sigma=0.3),dae_lam1w5,r_A,0.6487,0.6284,0.6766,0.6535,0.6340,0.6794,0.8677
noise(sigma=0.3),dae_lam1w5,div,0.3136,0.2194,0.3759,0.3062,0.2171,0.3687,0.6454
noise(sigma=0.3),dae_lam1w5,g_lin,0.5107,0.1953,0.6742,0.5275,0.1964,0.7016,0.7832
noise(sigma=0.3),dae_lam1w5,sure,0.6962,0.6824,0.7146,0.6983,0.6854,0.7156,0.8849
noise(sigma=0.5),dae_lam1w5_inner,b,0.1549,0.1463,0.1686,,,,0.5754
noise(sigma=0.5),dae_lam1w5_inner,g,0.6091,0.5813,0.6461,0.6387,0.6106,0.6760,0.8156
noise(sigma=0.5),dae_lam1w5_inner,d,0.3920,0.3840,0.4027,0.3881,0.3812,0.3981,0.7231
noise(sigma=0.5),dae_lam1w5_inner,r_A,0.3920,0.3840,0.4027,0.3881,0.3812,0.3981,0.7231
noise(sigma=0.5),dae_lam1w5_inner,div,0.3187,0.2940,0.3632,0.3286,0.2965,0.3717,0.6492
noise(sigma=0.5),dae_lam1w5_inner,g_lin,0.5591,0.3943,0.6925,0.5710,0.4254,0.7094,0.8024
noise(sigma=0.5),dae_lam1w5_inner,sure,0.4548,0.4497,0.4627,0.4518,0.4452,0.4599,0.7543
noise(sigma=0.5),dae_lam1w5,b,0.0371,-0.2034,0.2001,,,,0.4887
noise(sigma=0.5),dae_lam1w5,g,0.5487,0.4945,0.5790,0.5395,0.4962,0.5751,0.8003
noise(sigma=0.5),dae_lam1w5,d,0.4376,0.3488,0.5730,0.4329,0.3526,0.5602,0.7490
noise(sigma=0.5),dae_lam1w5,r_A,0.4376,0.3488,0.5730,0.4329,0.3526,0.5602,0.7490
noise(sigma=0.5),dae_lam1w5,div,0.1711,-0.1249,0.3932,0.1859,-0.0659,0.3812,0.5647
noise(sigma=0.5),dae_lam1w5,g_lin,0.4840,0.4068,0.5666,0.4712,0.3721,0.5976,0.7727
noise(sigma=0.5),dae_lam1w5,sure,0.4912,0.4313,0.5938,0.4879,0.4318,0.5894,0.7736
blur(std=0.5),dae_lam1w5_inner,b,0.0868,0.0809,0.0985,,,,0.5474
blur(std=0.5),dae_lam1w5_inner,g,0.6799,0.6535,0.7069,0.6916,0.6616,0.7104,0.8404
blur(std=0.5),dae_lam1w5_inner,d,0.9762,0.9726,0.9793,0.9778,0.9752,0.9806,0.9907
blur(std=0.5),dae_lam1w5_inner,r_A,0.9878,0.9874,0.9884,0.9897,0.9893,0.9903,0.9939
blur(std=0.5),dae_lam1w5,b,0.0389,0.0285,0.0444,,,,0.5196
blur(std=0.5),dae_lam1w5,g,0.6486,0.6291,0.6788,0.6519,0.6326,0.6848,0.8435
blur(std=0.5),dae_lam1w5,d,0.9662,0.9598,0.9726,0.9691,0.9642,0.9749,0.9895
blur(std=0.5),dae_lam1w5,r_A,0.9851,0.9844,0.9865,0.9868,0.9860,0.9880,0.9931
blur(std=1),dae_lam1w5_inner,b,0.2254,0.2064,0.2395,,,,0.6114
blur(std=1),dae_lam1w5_inner,g,0.5573,0.5398,0.5889,0.5719,0.5383,0.5913,0.8036
blur(std=1),dae_lam1w5_inner,d,0.5943,0.5537,0.6270,0.6835,0.6224,0.7304,0.8195
blur(std=1),dae_lam1w5_inner,r_A,0.9037,0.8941,0.9155,0.8983,0.8878,0.9116,0.9489
blur(std=1),dae_lam1w5,b,0.1770,0.1497,0.2114,,,,0.5753
blur(std=1),dae_lam1w5,g,0.5193,0.4578,0.5720,0.4970,0.4157,0.5554,0.7753
blur(std=1),dae_lam1w5,d,0.4518,0.4010,0.5037,0.5187,0.4518,0.6214,0.7384
blur(std=1),dae_lam1w5,r_A,0.8388,0.8257,0.8531,0.8365,0.8216,0.8525,0.9243
blur(std=1.5),dae_lam1w5_inner,b,0.4854,0.4163,0.5445,,,,0.6928
blur(std=1.5),dae_lam1w5_inner,g,0.4850,0.4354,0.5164,0.4281,0.3781,0.4908,0.7315
blur(std=1.5),dae_lam1w5_inner,d,0.6103,0.5540,0.6729,0.4791,0.4251,0.5407,0.7806
blur(std=1.5),dae_lam1w5_inner,r_A,0.8195,0.7969,0.8350,0.7544,0.7199,0.7971,0.9012
blur(std=1.5),dae_lam1w5,b,0.4160,0.3662,0.4676,,,,0.6572
blur(std=1.5),dae_lam1w5,g,0.5517,0.5115,0.6040,0.4130,0.2953,0.5171,0.7649
blur(std=1.5),dae_lam1w5,d,0.5288,0.4783,0.5749,0.3969,0.3539,0.4320,0.7279
blur(std=1.5),dae_lam1w5,r_A,0.6893,0.6618,0.7065,0.6093,0.5918,0.6389,0.8343
blur(std=2),dae_lam1w5_inner,b,0.6751,0.6147,0.7258,,,,0.7769
blur(std=2),dae_lam1w5_inner,g,0.4653,0.3584,0.5326,0.2316,0.1431,0.3550,0.7249
blur(std=2),dae_lam1w5_inner,d,0.7281,0.6733,0.7797,0.3884,0.3527,0.4407,0.8100
blur(std=2),dae_lam1w5_inner,r_A,0.8203,0.8057,0.8474,0.6280,0.5828,0.6642,0.8746
blur(std=2),dae_lam1w5,b,0.5971,0.5559,0.6368,,,,0.7364
blur(std=2),dae_lam1w5,g,0.6137,0.6038,0.6214,0.3347,0.2567,0.3808,0.7770
blur(std=2),dae_lam1w5,d,0.6678,0.6424,0.7034,0.3860,0.3582,0.4027,0.7720
blur(std=2),dae_lam1w5,r_A,0.7089,0.6689,0.7349,0.4776,0.4488,0.5325,0.7988
pixel_mask(drop=0.25),dae_lam1w5_inner,b,0.8161,0.8040,0.8242,,,,0.8988
pixel_mask(drop=0.25),dae_lam1w5_inner,g,0.4696,0.4267,0.5294,0.6154,0.5935,0.6264,0.7462
pixel_mask(drop=0.25),dae_lam1w5_inner,d,0.9456,0.9403,0.9487,0.9431,0.9406,0.9448,0.9696
pixel_mask(drop=0.25),dae_lam1w5_inner,r_A,0.9935,0.9928,0.9938,0.9804,0.9795,0.9810,0.9964
pixel_mask(drop=0.25),dae_lam1w5,b,0.8659,0.8526,0.8735,,,,0.9297
pixel_mask(drop=0.25),dae_lam1w5,g,0.6105,0.5589,0.6606,0.5191,0.5078,0.5343,0.7913
pixel_mask(drop=0.25),dae_lam1w5,d,0.9695,0.9661,0.9723,0.9589,0.9561,0.9603,0.9845
pixel_mask(drop=0.25),dae_lam1w5,r_A,0.9939,0.9936,0.9941,0.9754,0.9749,0.9764,0.9968
pixel_mask(drop=0.5),dae_lam1w5_inner,b,0.9541,0.9523,0.9552,,,,0.9740
pixel_mask(drop=0.5),dae_lam1w5_inner,g,0.5050,0.4425,0.5473,0.3893,0.3689,0.4031,0.7720
pixel_mask(drop=0.5),dae_lam1w5_inner,d,0.9773,0.9756,0.9782,0.8231,0.8078,0.8418,0.9881
pixel_mask(drop=0.5),dae_lam1w5_inner,r_A,0.9894,0.9889,0.9898,0.8949,0.8863,0.8994,0.9939
