scope,group,model,target,signal,constant,spearman,spearman_lo,spearman_hi,auroc,auroc_lo,auroc_hi,partial,partial_lo,partial_hi,n
condition,noise(sigma=0.1),radial,e,b,False,0.2070,0.1898,0.2262,0.5959,0.5845,0.6089,,,,10000
condition,noise(sigma=0.1),radial,e,g,True,,,,0.5000,0.5000,0.5000,,,,10000
condition,noise(sigma=0.1),radial,e,d,False,0.5214,0.5087,0.5347,0.8772,0.8704,0.8838,0.4891,0.4733,0.5034,10000
condition,noise(sigma=0.1),radial,e,r_A,False,0.5214,0.5087,0.5347,0.8772,0.8704,0.8838,0.4891,0.4733,0.5034,10000
condition,noise(sigma=0.1),radial,e,div,False,0.3031,0.2771,0.3265,0.6885,0.6689,0.7052,0.4291,0.4088,0.4484,10000
condition,noise(sigma=0.1),radial,e,g_lin,True,,,,0.5000,0.5000,0.5000,,,,10000
condition,noise(sigma=0.1),radial,e,sure,False,0.9358,0.9317,0.9396,0.9971,0.9966,0.9976,0.9329,0.9286,0.9370,10000
condition,noise(sigma=0.1),pca64,e,b,False,0.1584,0.1411,0.1786,0.5799,0.5682,0.5928,,,,10000
condition,noise(sigma=0.1),pca64,e,g,True,,,,0.5000,0.5000,0.5000,,,,10000
condition,noise(sigma=0.1),pca64,e,d,False,0.9691,0.9675,0.9706,0.9926,0.9915,0.9936,0.9700,0.9686,0.9715,10000
condition,noise(sigma=0.1),pca64,e,r_A,False,0.9691,0.9675,0.9706,0.9926,0.9915,0.9936,0.9700,0.9686,0.9715,10000
condition,noise(sigma=0.1),pca64,e,div,False,0.0005,-0.0195,0.0194,0.4963,0.4836,0.5085,-0.0009,-0.0212,0.0191,10000
condition,noise(sigma=0.1),pca64,e,g_lin,True,,,,0.5000,0.5000,0.5000,,,,10000
condition,noise(sigma=0.1),pca64,e,sure,False,0.9627,0.9610,0.9644,0.9884,0.9869,0.9898,0.9663,0.9648,0.9678,10000
condition,noise(sigma=0.1),dae_lam0_seed0,e,b,False,0.0321,0.0144,0.0508,0.5111,0.4990,0.5245,,,,10000
condition,noise(sigma=0.1),dae_lam0_seed0,e,g,False,0.7533,0.7434,0.7633,0.8692,0.8616,0.8766,0.7535,0.7434,0.7631,10000
condition,noise(sigma=0.1),dae_lam0_seed0,e,d,False,0.9274,0.9240,0.9306,0.9806,0.9783,0.9827,0.9370,0.9340,0.9398,10000
condition,noise(sigma=0.1),dae_lam0_seed0,e,r_A,False,0.9274,0.9240,0.9306,0.9806,0.9783,0.9827,0.9370,0.9340,0.9398,10000
condition,noise(sigma=0.1),dae_lam0_seed0,e,div,False,0.5339,0.5201,0.5486,0.7459,0.7357,0.7570,0.5332,0.5194,0.5480,10000
condition,noise(sigma=0.1),dae_lam0_seed0,e,g_lin,False,0.7978,0.7895,0.8062,0.9020,0.8948,0.9088,0.7979,0.7896,0.8062,10000
condition,noise(sigma=0.1),dae_lam0_seed0,e,sure,False,0.9039,0.8994,0.9081,0.9639,0.9605,0.9670,0.9115,0.9074,0.9153,10000
condition,noise(sigma=0.1),dae_lam0_seed1,e,b,False,0.0241,0.0071,0.0430,0.5082,0.4967,0.5215,,,,10000
condition,noise(sigma=0.1),dae_lam0_seed1,e,g,False,0.7610,0.7518,0.7706,0.8725,0.8647,0.8800,0.7610,0.7521,0.7706,10000
condition,noise(sigma=0.1),dae_lam0_seed1,e,d,False,0.9301,0.9266,0.9333,0.9808,0.9785,0.9831,0.9398,0.9368,0.9426,10000
condition,noise(sigma=0.1),dae_lam0_seed1,e,r_A,False,0.9301,0.9266,0.9333,0.9808,0.9785,0.9831,0.9398,0.9368,0.9426,10000
condition,noise(sigma=0.1),dae_lam0_seed1,e,div,False,0.4993,0.4843,0.5147,0.7300,0.7199,0.7414,0.5000,0.4852,0.5145,10000
condition,noise(sigma=0.1),dae_lam0_seed1,e,g_lin,False,0.7980,0.7894,0.8066,0.8980,0.8910,0.9046,0.7986,0.7903,0.8070,10000
condition,noise(sigma=0.1),dae_lam0_seed1,e,sure,False,0.9052,0.9008,0.9093,0.9636,0.9602,0.9669,0.9128,0.9088,0.9167,10000
condition,noise(sigma=0.1),dae_lam0_seed2,e,b,False,0.0100,-0.0077,0.0290,0.5034,0.4906,0.5167,,,,10000
condition,noise(sigma=0.1),dae_lam0_seed2,e,g,False,0.7356,0.7253,0.7453,0.8562,0.8475,0.8647,0.7393,0.7293,0.7492,10000
condition,noise(sigma=0.1),dae_lam0_seed2,e,d,False,0.9376,0.9346,0.9402,0.9817,0.9794,0.9837,0.9458,0.9431,0.9482,10000
condition,noise(sigma=0.1),dae_lam0_seed2,e,r_A,False,0.9376,0.9346,0.9402,0.9817,0.9794,0.9837,0.9458,0.9431,0.9482,10000
condition,noise(sigma=0.1),dae_lam0_seed2,e,div,False,0.4449,0.4287,0.4609,0.7062,0.6947,0.7181,0.4454,0.4291,0.4614,10000
condition,noise(sigma=0.1),dae_lam0_seed2,e,g_lin,False,0.7640,0.7548,0.7727,0.8831,0.8755,0.8900,0.7680,0.7589,0.7765,10000
