condition,model,e,e_mse,e_in,b,g,d,r_A,div,g_lin,sure,dis,g2,g3,q,frac_improved
noise(sigma=0.1),radial,0.0880059,0.012439,0.0797818,0.286808,2.38033e-17,0.0354385,0.0354385,0.973062,3.74913e-14,0.0124411,,5.10299e-18,2.56827e-18,,0.4451
noise(sigma=0.1),pca64,0.0687249,0.0111864,0.0797818,0.286808,5.48359e-16,0.106015,0.106015,0.0815735,2.59262e-13,0.0111853,,5.17828e-16,5.16472e-16,,0.7535
noise(sigma=0.1),dae_lam0.1w5_seed0,0.0421591,0.00844319,0.0797818,0.286808,0.00947795,0.0997196,0.0997196,0.0246859,0.0116306,0.00844591,0.00916723,0.00660316,0.0054832,0.694963,0.948
noise(sigma=0.1),dae_lam0.1w5_seed1,0.0437043,0.00899576,0.0797818,0.286808,0.00941339,0.10099,0.10099,0.0230717,0.0111792,0.00899539,0.00916723,0.00669829,0.00562571,0.710716,0.94
noise(sigma=0.1),dae_lam0_seed0,0.04227,0.00850621,0.0797818,0.286808,0.0104949,0.0998279,0.0998279,0.0247673,0.0125229,0.00850938,0.00931352,0.00768671,0.00653492,0.729301,0.9486
noise(sigma=0.1),dae_lam0_seed1,0.0430358,0.00882276,0.0797818,0.286808,0.0105541,0.100494,0.100494,0.0237356,0.0126452,0.0088253,0.00931352,0.00779015,0.00666137,0.73534,0.9447
noise(sigma=0.1),dae_lam0_seed2,0.0448167,0.00951524,0.0797818,0.286808,0.0108393,0.101994,0.101994,0.021744,0.0128528,0.00951474,0.00931352,0.00837185,0.00732179,0.762426,0.936
noise(sigma=0.1),dae_lam1_seed0,0.209543,0.103143,0.0797818,0.286808,1.18199e-06,0.244979,0.244979,8.32633e-08,7.32416e-06,0.103143,,6.09932e-09,5.83938e-09,0.00548824,0
noise(sigma=0.1),dae_lam1w5_inner_seed0,0.0516536,0.012566,0.0797818,0.286808,0.0104361,0.107724,0.107724,0.0141494,0.0154301,0.01257,0.0146624,0.00651992,0.00541848,0.635732,0.8901
noise(sigma=0.1),dae_lam1w5_inner_seed1,0.0529175,0.0133314,0.0797818,0.286808,0.0106013,0.108865,0.108865,0.0136976,0.0155087,0.0133288,0.0146624,0.00684256,0.00568411,0.653111,0.8807
noise(sigma=0.1),dae_lam1w5_inner_seed2,0.054243,0.0136712,0.0797818,0.286808,0.0106112,0.109868,0.109868,0.0129839,0.0153293,0.01367,0.0146624,0.00682129,0.00570784,0.648801,0.8663
noise(sigma=0.1),dae_lam1w5_seed0,0.0481775,0.0109115,0.0797818,0.286808,0.00628529,0.104684,0.104684,0.0184731,0.00869592,0.0109066,0.00963438,0.00396037,0.00329981,0.638307,0.918
noise(sigma=0.1),dae_lam1w5_seed1,0.0508276,0.0119838,0.0797818,0.286808,0.00625828,0.106874,0.106874,0.0172114,0.00807717,0.0119769,0.00963438,0.00394304,0.00326593,0.638166,0.9035
noise(sigma=0.1),dae_lam1w5_seed2,0.0521311,0.0124685,0.0797818,0.286808,0.00564687,0.107912,0.107912,0.0148879,0.00839249,0.0124653,0.00963438,0.00349958,0.00293329,0.631651,0.8883
noise(sigma=0.2),radial,0.144319,0.0327622,0.159617,0.286879,2.29703e-17,0.0535666,0.0535666,0.833796,3.74474e-14,0.0327594,,5.03632e-18,2.54346e-18,,0.8914
noise(sigma=0.2),pca64,0.0801967,0.013627,0.159617,0.286879,5.56164e-16,0.171566,0.171566,0.0815735,2.64695e-13,0.0136391,,5.24776e-16,5.24464e-16,,0.9972
noise(sigma=0.2),dae_lam0.1w5_seed0,0.0457264,0.00961392,0.159617,0.286879,0.0109727,0.171968,0.171968,0.0248377,0.0149115,0.0096092,0.0104,0.00708183,0.00571845,0.638262,0.9986
noise(sigma=0.2),dae_lam0.1w5_seed1,0.0470876,0.0101435,0.159617,0.286879,0.0107582,0.172999,0.172999,0.0231937,0.0146407,0.0101443,0.0104,0.00717571,0.00587931,0.661012,0.9987
noise(sigma=0.2),dae_lam0_seed0,0.0458343,0.00966206,0.159617,0.286879,0.0119841,0.172026,0.172026,0.0250105,0.0157701,0.00966547,0.010554,0.00815933,0.00677231,0.672824,0.9986
noise(sigma=0.2),dae_lam0_seed1,0.0465239,0.00995956,0.159617,0.286879,0.0120082,0.17261,0.17261,0.0239227,0.0161032,0.00996349,0.010554,0.00824771,0.00689995,0.679652,0.9987
noise(sigma=0.2),dae_lam0_seed2,0.0480763,0.0105779,0.159617,0.286879,0.0120817,0.173808,0.173808,0.0217394,0.0157853,0.0105765,0.010554,0.00875903,0.00752146,0.710064,0.9982
noise(sigma=0.2),dae_lam1_seed0,0.209543,0.103143,0.159617,0.286879,1.44739e-06,0.290499,0.290499,9.05361e-08,7.75741e-06,0.103175,,6.11919e-09,5.84018e-09,0.00452408,0.1546
noise(sigma=0.2),dae_lam1w5_inner_seed0,0.0532066,0.0131744,0.159617,0.286879,0.0110614,0.178149,0.178149,0.0142986,0.0176954,0.0131894,0.0147665,0.00669198,0.00550703,0.612827,0.998
noise(sigma=0.2),dae_lam1w5_inner_seed1,0.0543712,0.0139269,0.159617,0.286879,0.0111683,0.179091,0.179091,0.0138598,0.0177193,0.0139269,0.0147665,0.00698992,0.00576226,0.631653,0.9976
noise(sigma=0.2),dae_lam1w5_inner_seed2,0.0556165,0.0142054,0.159617,0.286879,0.0112055,0.179783,0.179783,0.0130793,0.0174252,0.0142103,0.0147665,0.00696175,0.00579295,0.622846,0.9973
noise(sigma=0.2),dae_lam1w5_seed0,0.0510196,0.0119377,0.159617,0.286879,0.00718651,0.176041,0.176041,0.0183906,0.0117069,0.0119412,0.0105743,0.00426309,0.0034807,0.593364,0.9979
noise(sigma=0.2),dae_lam1w5_seed1,0.0535767,0.0130416,0.159617,0.286879,0.00710761,0.177802,0.177802,0.017187,0.0112536,0.0130457,0.0105743,0.00424358,0.00343991,0.59757,0.9974
