condition,model_group,e,e_min,e_max,frac_improved,g
noise(sigma=0.1),unet_lam0,0.0252,0.0250,0.0253,0.9977,0.0109
noise(sigma=0.1),unet_lam1,0.2868,0.2868,0.2868,0.0240,0.0000
noise(sigma=0.1),unet_lam1w5,0.0262,0.0261,0.0263,0.9954,0.0055
noise(sigma=0.2),unet_lam0,0.0357,0.0356,0.0358,1.0000,0.0161
noise(sigma=0.2),unet_lam1,0.2868,0.2868,0.2868,0.1738,0.0000
noise(sigma=0.2),unet_lam1w5,0.0366,0.0364,0.0368,0.9999,0.0056
noise(sigma=0.3),unet_lam0,0.0526,0.0521,0.0535,1.0000,0.0249
noise(sigma=0.3),unet_lam1,0.2868,0.2868,0.2868,0.4057,0.0000
noise(sigma=0.3),unet_lam1w5,0.0486,0.0483,0.0492,1.0000,0.0072
noise(sigma=0.5),unet_lam0,0.0995,0.0960,0.1047,1.0000,0.0413
noise(sigma=0.5),unet_lam1,0.2868,0.2868,0.2868,0.7873,0.0000
noise(sigma=0.5),unet_lam1w5,0.0882,0.0820,0.0931,1.0000,0.0156
blur(std=0.5),unet_lam0,0.0282,0.0278,0.0288,0.7231,0.0090
blur(std=0.5),unet_lam1,0.2868,0.2868,0.2868,0.0000,0.0000
blur(std=0.5),unet_lam1w5,0.0229,0.0227,0.0231,0.9563,0.0053
blur(std=1),unet_lam0,0.0571,0.0569,0.0575,0.9764,0.0129
blur(std=1),unet_lam1,0.2868,0.2868,0.2868,0.0007,0.0000
blur(std=1),unet_lam1w5,0.0586,0.0579,0.0592,0.9996,0.0078
blur(std=1.5),unet_lam0,0.0800,0.0797,0.0802,0.9894,0.0147
blur(std=1.5),unet_lam1,0.2868,0.2868,0.2868,0.0097,0.0000
blur(std=1.5),unet_lam1w5,0.0820,0.0814,0.0828,0.9999,0.0087
blur(std=2),unet_lam0,0.1000,0.0996,0.1006,0.9885,0.0154
blur(std=2),unet_lam1,0.2868,0.2868,0.2868,0.0203,0.0000
blur(std=2),unet_lam1w5,0.1011,0.1006,0.1020,0.9999,0.0091
pixel_mask(drop=0.25),unet_lam0,0.0812,0.0809,0.0818,0.7820,0.0271
pixel_mask(drop=0.25),unet_lam1,0.2868,0.2868,0.2868,0.0000,0.0000
pixel_mask(drop=0.25),unet_lam1w5,0.0819,0.0813,0.0825,0.7212,0.0077
pixel_mask(drop=0.5),unet_lam0,0.1538,0.1534,0.1544,0.2535,0.0324
pixel_mask(drop=0.5),unet_lam1,0.2868,0.2868,0.2868,0.0000,0.0000
pixel_mask(drop=0.5),unet_lam1w5,0.1570,0.1565,0.1580,0.1090,0.0084
pixel_mask(drop=0.75),unet_lam0,0.2276,0.2267,0.2286,0.0014,0.0226
pixel_mask(drop=0.75),unet_lam1,0.2868,0.2868,0.2868,0.0000,0.0000
pixel_mask(drop=0.75),unet_lam1w5,0.2319,0.2306,0.2335,0.0024,0.0060
box_mask(size=8),unet_lam0,0.0511,0.0509,0.0515,0.3311,0.0093
box_mask(size=8),unet_lam1,0.2868,0.2868,0.2868,0.0000,0.0000
box_mask(size=8),unet_lam1w5,0.0462,0.0457,0.0466,0.6766,0.0053
box_mask(size=14),unet_lam0,0.1200,0.1198,0.1203,0.3859,0.0076
box_mask(size=14),unet_lam1,0.2868,0.2868,0.2868,0.0001,0.0000
box_mask(size=14),unet_lam1w5,0.1159,0.1155,0.1163,0.7321,0.0044
