scope,group,model_group,signal,spearman,partial,auroc
family,noise,unet_lam0,b,0.1217,,0.5548
family,noise,unet_lam0,g,0.9670,0.9679,0.9802
family,noise,unet_lam0,d,0.7567,0.7660,0.8884
family,noise,unet_lam0,r_A,0.7567,0.7660,0.8884
family,noise,unet_lam0,div,0.8181,0.8159,0.9107
family,noise,unet_lam0,g_lin,0.9412,0.9453,0.9533
family,noise,unet_lam0,sure,0.8853,0.8894,0.9624
family,noise,unet_lam0,b@level,0.6240,0.6287,0.7150
family,noise,unet_lam0,g@level,0.8309,0.8371,0.9268
family,noise,unet_lam0,d@level,0.8309,0.8371,0.9268
family,noise,unet_lam0,r_A@level,0.8309,0.8371,0.9268
family,noise,unet_lam0,div@level,0.8309,0.8371,0.9268
family,noise,unet_lam0,g_lin@level,0.8309,0.8371,0.9268
family,noise,unet_lam0,sure@level,0.8309,0.8371,0.9268
family,noise,unet_lam1,b,0.9960,,0.9985
family,noise,unet_lam1,g,,,0.5000
family,noise,unet_lam1,d,0.7542,0.0492,0.9120
family,noise,unet_lam1,r_A,0.7542,0.0492,0.9120
family,noise,unet_lam1,div,,,0.5000
family,noise,unet_lam1,g_lin,,,0.5000
family,noise,unet_lam1,sure,0.9578,0.1250,0.9858
family,noise,unet_lam1,b@level,0.0000,-0.0034,0.5000
family,noise,unet_lam1,g@level,,,0.5000
family,noise,unet_lam1,d@level,0.0000,-0.0037,0.5000
family,noise,unet_lam1,r_A@level,0.0000,-0.0037,0.5000
family,noise,unet_lam1,div@level,,,0.5000
family,noise,unet_lam1,g_lin@level,,,0.5000
family,noise,unet_lam1,sure@level,0.0000,-0.0020,0.5000
family,noise,unet_lam1w5,b,0.1148,,0.5490
family,noise,unet_lam1w5,g,0.7687,0.7760,0.9244
family,noise,unet_lam1w5,d,0.7380,0.7478,0.8806
family,noise,unet_lam1w5,r_A,0.7380,0.7478,0.8806
family,noise,unet_lam1w5,div,0.2555,0.2440,0.6908
family,noise,unet_lam1w5,g_lin,0.9256,0.9249,0.9676
family,noise,unet_lam1w5,sure,0.8289,0.8343,0.9320
family,noise,unet_lam1w5,b@level,0.5766,0.5804,0.7042
family,noise,unet_lam1w5,g@level,0.6910,0.6956,0.8938
family,noise,unet_lam1w5,d@level,0.7849,0.7901,0.9000
family,noise,unet_lam1w5,r_A@level,0.7849,0.7901,0.9000
family,noise,unet_lam1w5,div@level,-0.1487,-0.1497,0.5700
family,noise,unet_lam1w5,g_lin@level,0.7849,0.7901,0.9000
family,noise,unet_lam1w5,sure@level,0.7849,0.7901,0.9000
family,blur,unet_lam0,b,0.2304,,0.6758
family,blur,unet_lam0,g,0.7301,0.7692,0.8557
family,blur,unet_lam0,d,0.4625,0.4524,0.7462
family,blur,unet_lam0,r_A,0.8109,0.8059,0.9155
family,blur,unet_lam0,b@level,-0.8300,-0.8592,0.1317
family,blur,unet_lam0,g@level,0.8300,0.8592,0.8683
family,blur,unet_lam0,d@level,0.4531,0.4679,0.5943
family,blur,unet_lam0,r_A@level,0.8300,0.8592,0.8683
family,blur,unet_lam1,b,0.9995,,0.9997
family,blur,unet_lam1,g,,,0.5000
family,blur,unet_lam1,d,0.9990,-0.4961,0.9995
family,blur,unet_lam1,r_A,0.9990,-0.4961,0.9995
family,blur,unet_lam1,b@level,0.0000,-0.7963,0.5000
family,blur,unet_lam1,g@level,,,0.5000
family,blur,unet_lam1,d@level,0.0000,-0.7963,0.5000
family,blur,unet_lam1,r_A@level,0.0000,-0.7963,0.5000
family,blur,unet_lam1w5,b,0.2805,,0.7069
family,blur,unet_lam1w5,g,0.7345,0.7690,0.8620
family,blur,unet_lam1w5,d,0.1314,0.0042,0.6111
family,blur,unet_lam1w5,r_A,0.8604,0.8513,0.9239
family,blur,unet_lam1w5,b@level,-0.8458,-0.8890,0.1276
family,blur,unet_lam1w5,g@level,0.8458,0.8890,0.8724
family,blur,unet_lam1w5,d@level,-0.3096,-0.3270,0.2653
family,blur,unet_lam1w5,r_A@level,0.8458,0.8890,0.8724
family,pixel_mask,unet_lam0,b,0.0210,,0.5017
family,pixel_mask,unet_lam0,g,0.5744,0.8924,0.7851
family,pixel_mask,unet_lam0,d,0.5029,0.7930,0.7433
family,pixel_mask,unet_lam0,r_A,0.4968,0.7784,0.7506
