condition,model,e,e_mse,e_in,b,g,d,r_A,div,g_lin,sure,dis,g2,g3,q,frac_improved
noise(sigma=0.1),unet_lam0_seed0,0.0251927,0.00256742,0.0797818,0.286808,0.0108624,0.079639,0.079639,0.121408,0.0126833,0.00257414,0.00390816,0.00646937,0.00492413,0.595402,0.9978
noise(sigma=0.1),unet_lam0_seed1,0.0253425,0.00259792,0.0797818,0.286808,0.0111008,0.0800113,0.0800113,0.118075,0.0134794,0.00260333,0.00390816,0.00661074,0.00501707,0.596219,0.9976
noise(sigma=0.1),unet_lam0_seed2,0.0249783,0.00252762,0.0797818,0.286808,0.0107272,0.0796217,0.0796217,0.119594,0.0126796,0.00253357,0.00390816,0.00638303,0.00484598,0.595669,0.9978
noise(sigma=0.1),unet_lam1_seed0,0.286849,0.206499,0.0797818,0.286808,1.43595e-10,0.329451,0.329451,6.05636e-11,1.29279e-10,0.206471,,1.34899e-25,0,6.73143e-16,0.024
noise(sigma=0.1),unet_lam1w5_seed0,0.0262935,0.00272636,0.0797818,0.286808,0.00557693,0.076566,0.076566,0.156805,0.0115941,0.00273133,0.00411707,0.00364579,0.00292959,0.652655,0.9953
noise(sigma=0.1),unet_lam1w5_seed1,0.026326,0.00271712,0.0797818,0.286808,0.00595034,0.0764792,0.0764792,0.157534,0.0116908,0.00272343,0.00411707,0.00388382,0.00310211,0.652179,0.9956
noise(sigma=0.1),unet_lam1w5_seed2,0.0260876,0.00267962,0.0797818,0.286808,0.00512008,0.0760449,0.0760449,0.159311,0.0128286,0.00268488,0.00411707,0.00343062,0.00276424,0.671297,0.9953
noise(sigma=0.2),unet_lam0_seed0,0.035822,0.00501611,0.159617,0.286879,0.0158983,0.146928,0.146928,0.134049,0.0210667,0.00503485,0.0051626,0.00781734,0.00548054,0.491398,1
noise(sigma=0.2),unet_lam0_seed1,0.0357766,0.00498564,0.159617,0.286879,0.0166101,0.146489,0.146489,0.13598,0.0235831,0.00500404,0.0051626,0.00805802,0.00561971,0.484308,1
noise(sigma=0.2),unet_lam0_seed2,0.0355648,0.00494318,0.159617,0.286879,0.0158605,0.146701,0.146701,0.134041,0.0214575,0.00495927,0.0051626,0.00774847,0.00542747,0.488516,1
noise(sigma=0.2),unet_lam1_seed0,0.286849,0.206499,0.159617,0.286879,1.51939e-10,0.375291,0.375291,5.95779e-11,1.41088e-10,0.206556,,1.43822e-25,0,7.2546e-16,0.1738
noise(sigma=0.2),unet_lam1w5_seed0,0.0366583,0.00542016,0.159617,0.286879,0.00556787,0.153973,0.153973,0.0989413,0.0174639,0.00543426,0.00540599,0.00355251,0.00287171,0.639278,0.9999
noise(sigma=0.2),unet_lam1w5_seed1,0.0367571,0.00542735,0.159617,0.286879,0.00609564,0.153533,0.153533,0.101369,0.0180398,0.00544147,0.00540599,0.00384381,0.00307759,0.632425,1
noise(sigma=0.2),unet_lam1w5_seed2,0.0364443,0.00536398,0.159617,0.286879,0.00505261,0.153691,0.153691,0.0999186,0.0190022,0.00537143,0.00540599,0.00332659,0.00270376,0.662571,0.9999
noise(sigma=0.3),unet_lam0_seed0,0.0520929,0.0103294,0.239265,0.286879,0.0240064,0.212787,0.212787,0.154734,0.0344771,0.0103116,0.00753477,0.0104727,0.00664927,0.437722,1
noise(sigma=0.3),unet_lam0_seed1,0.0535434,0.0107691,0.239265,0.286879,0.0264292,0.209781,0.209781,0.167036,0.0405278,0.0107638,0.00753477,0.0112202,0.00697939,0.424324,1
noise(sigma=0.3),unet_lam0_seed2,0.0520697,0.010262,0.239265,0.286879,0.0243415,0.211771,0.211771,0.157603,0.0354839,0.0102471,0.00753477,0.0104622,0.006614,0.430391,1
noise(sigma=0.3),unet_lam1_seed0,0.286849,0.206499,0.239265,0.286879,1.64692e-10,0.424602,0.424602,5.74448e-11,1.58963e-10,0.206586,,1.58659e-25,0,7.99025e-16,0.4057
noise(sigma=0.3),unet_lam1w5_seed0,0.0484196,0.00938859,0.239265,0.286879,0.00702535,0.22734,0.22734,0.0989232,0.0377347,0.00937992,0.00811356,0.00418765,0.00328073,0.600802,1
noise(sigma=0.3),unet_lam1w5_seed1,0.0491713,0.00969905,0.239265,0.286879,0.00809799,0.226113,0.226113,0.104973,0.0391116,0.00969418,0.00811356,0.00465292,0.00355822,0.579997,1
noise(sigma=0.3),unet_lam1w5_seed2,0.0482947,0.00932251,0.239265,0.286879,0.00640269,0.226724,0.226724,0.100928,0.0366749,0.0093185,0.00811356,0.00393303,0.00309059,0.620197,1
noise(sigma=0.5),unet_lam0_seed0,0.0960063,0.0324811,0.398989,0.286902,0.038591,0.344068,0.344068,0.18208,0.0495107,0.0325231,0.0143559,0.0189246,0.0116056,0.483767,1
noise(sigma=0.5),unet_lam0_seed1,0.104709,0.0372386,0.398989,0.286902,0.0451061,0.331729,0.331729,0.214189,0.0571433,0.0372759,0.0143559,0.0226984,0.0136485,0.494832,1
noise(sigma=0.5),unet_lam0_seed2,0.0977478,0.0330133,0.398989,0.286902,0.0402502,0.339773,0.339773,0.191384,0.0508964,0.0330347,0.0143559,0.0193171,0.0117022,0.475254,1
noise(sigma=0.5),unet_lam1_seed0,0.286849,0.206499,0.398989,0.286902,1.99602e-10,0.53672,0.53672,5.22203e-11,2.02166e-10,0.206495,,1.89207e-25,0,8.77327e-16,0.7873
