group,model,signal,aurc,aurc_norm,mean_error,risk@0.8,risk_oracle@0.8,risk@0.5,risk_oracle@0.5
dae_lam0,dae_lam0_seed0,g,0.0678,0.4610,0.0914,0.0848,0.0633,0.0703,0.0459
dae_lam0,dae_lam0_seed0,d,0.0759,0.6445,0.0914,0.0919,0.0633,0.0815,0.0459
dae_lam0,dae_lam0_seed0,r_A,0.0787,0.7090,0.0914,0.0995,0.0633,0.0825,0.0459
dae_lam0,dae_lam0_seed0,dis,0.0688,0.4838,0.0914,0.0851,0.0633,0.0700,0.0459
dae_lam0,dae_lam0_seed0,g2,0.0689,0.4854,0.0914,0.0836,0.0633,0.0697,0.0459
dae_lam0,dae_lam0_seed0,q,0.0887,0.9396,0.0914,0.0901,0.0633,0.0902,0.0459
dae_lam0,dae_lam0_seed0,b,0.1051,1.3150,0.0914,0.0965,0.0633,0.1038,0.0459
dae_lam0,dae_lam0_seed1,g,0.0657,0.3934,0.0920,0.0846,0.0643,0.0671,0.0470
dae_lam0,dae_lam0_seed1,d,0.0759,0.6284,0.0920,0.0922,0.0643,0.0817,0.0470
dae_lam0,dae_lam0_seed1,r_A,0.0791,0.7032,0.0920,0.0997,0.0643,0.0831,0.0470
dae_lam0,dae_lam0_seed1,dis,0.0692,0.4739,0.0920,0.0854,0.0643,0.0703,0.0470
dae_lam0,dae_lam0_seed1,g2,0.0674,0.4346,0.0920,0.0834,0.0643,0.0682,0.0470
dae_lam0,dae_lam0_seed1,q,0.0908,0.9737,0.0920,0.0914,0.0643,0.0924,0.0470
dae_lam0,dae_lam0_seed1,b,0.1053,1.3063,0.0920,0.0969,0.0643,0.1040,0.0470
dae_lam0,dae_lam0_seed2,g,0.0657,0.3841,0.0920,0.0835,0.0646,0.0675,0.0477
dae_lam0,dae_lam0_seed2,d,0.0755,0.6134,0.0920,0.0922,0.0646,0.0804,0.0477
dae_lam0,dae_lam0_seed2,r_A,0.0791,0.6977,0.0920,0.0997,0.0646,0.0828,0.0477
dae_lam0,dae_lam0_seed2,dis,0.0693,0.4687,0.0920,0.0851,0.0646,0.0704,0.0477
dae_lam0,dae_lam0_seed2,g2,0.0673,0.4231,0.0920,0.0823,0.0646,0.0665,0.0477
dae_lam0,dae_lam0_seed2,q,0.0854,0.8464,0.0920,0.0900,0.0646,0.0851,0.0477
dae_lam0,dae_lam0_seed2,b,0.1055,1.3161,0.0920,0.0970,0.0646,0.1042,0.0477
