group,signal,aurc,aurc_norm,risk@0.8,risk@0.5,mean_error
dae_lam0,g,0.0664,0.4128,0.0843,0.0683,0.0918
dae_lam0,d,0.0757,0.6287,0.0921,0.0812,0.0918
dae_lam0,r_A,0.0790,0.7033,0.0996,0.0828,0.0918
dae_lam0,dis,0.0691,0.4755,0.0852,0.0702,0.0918
dae_lam0,g2,0.0679,0.4477,0.0831,0.0681,0.0918
dae_lam0,q,0.0883,0.9199,0.0905,0.0893,0.0918
dae_lam0,b,0.1053,1.3125,0.0968,0.1040,0.0918
dae_lam1w5,g,0.0738,0.5016,0.0890,0.0774,0.0951
dae_lam1w5,d,0.0770,0.5773,0.0950,0.0798,0.0951
dae_lam1w5,r_A,0.0822,0.6983,0.1021,0.0850,0.0951
dae_lam1w5,dis,0.0751,0.5323,0.0900,0.0773,0.0951
dae_lam1w5,g2,0.0763,0.5610,0.0883,0.0793,0.0951
dae_lam1w5,q,0.0964,1.0318,0.0963,0.0976,0.0951
dae_lam1w5,b,0.1078,1.2985,0.1002,0.1071,0.0951
unet_lam0,g,0.0639,0.5108,0.0694,0.0592,0.0855
unet_lam0,d,0.0789,0.8498,0.0899,0.0745,0.0855
unet_lam0,r_A,0.0823,0.9272,0.0904,0.0764,0.0855
unet_lam0,dis,0.0649,0.5319,0.0731,0.0625,0.0855
unet_lam0,g2,0.0624,0.4757,0.0703,0.0594,0.0855
unet_lam0,q,0.0962,1.2415,0.0878,0.0974,0.0855
unet_lam0,b,0.0978,1.2776,0.0895,0.0959,0.0855
unet_lam1w5,g,0.0688,0.6499,0.0766,0.0673,0.0844
unet_lam1w5,d,0.0753,0.7956,0.0864,0.0723,0.0844
unet_lam1w5,r_A,0.0779,0.8548,0.0903,0.0719,0.0844
unet_lam1w5,dis,0.0655,0.5748,0.0717,0.0629,0.0844
unet_lam1w5,g2,0.0710,0.6985,0.0791,0.0696,0.0844
unet_lam1w5,q,0.0944,1.2246,0.0856,0.0935,0.0844
unet_lam1w5,b,0.0974,1.2921,0.0885,0.0955,0.0844
