scope,group,projector,signal,constant,spearman,spearman_lo,spearman_hi,auroc,auroc_lo,auroc_hi,n
condition,noise(sigma=0.1),identity,g,True,,,,0.5000,0.5000,0.5000,10000
condition,noise(sigma=0.1),identity,d,True,,,,0.5000,0.5000,0.5000,10000
condition,noise(sigma=0.1),identity,r_A,True,,,,0.5000,0.5000,0.5000,10000
condition,noise(sigma=0.1),radial,g,True,,,,0.5000,0.5000,0.5000,10000
condition,noise(sigma=0.1),radial,d,False,0.5214,0.5087,0.5347,0.8772,0.8704,0.8838,10000
condition,noise(sigma=0.1),radial,r_A,False,0.5214,0.5087,0.5347,0.8772,0.8704,0.8838,10000
condition,noise(sigma=0.1),pca16,g,True,,,,0.5000,0.5000,0.5000,10000
condition,noise(sigma=0.1),pca16,d,False,0.9786,0.9774,0.9796,0.9939,0.9930,0.9948,10000
condition,noise(sigma=0.1),pca16,r_A,False,0.9786,0.9774,0.9796,0.9939,0.9930,0.9948,10000
condition,noise(sigma=0.1),pca64,g,True,,,,0.5000,0.5000,0.5000,10000
condition,noise(sigma=0.1),pca64,d,False,0.9691,0.9675,0.9706,0.9926,0.9915,0.9936,10000
condition,noise(sigma=0.1),pca64,r_A,False,0.9691,0.9675,0.9706,0.9926,0.9915,0.9936,10000
condition,noise(sigma=0.1),pca256,g,True,,,,0.5000,0.5000,0.5000,10000
condition,noise(sigma=0.1),pca256,d,False,0.8843,0.8787,0.8899,0.9774,0.9751,0.9798,10000
condition,noise(sigma=0.1),pca256,r_A,False,0.8843,0.8787,0.8899,0.9774,0.9751,0.9798,10000
condition,noise(sigma=0.1),nn,g,True,,,,0.5000,0.5000,0.5000,10000
condition,noise(sigma=0.1),nn,d,False,0.9626,0.9608,0.9644,0.9887,0.9873,0.9900,10000
condition,noise(sigma=0.1),nn,r_A,False,0.9626,0.9608,0.9644,0.9887,0.9873,0.9900,10000
condition,noise(sigma=0.2),identity,g,True,,,,0.5000,0.5000,0.5000,10000
condition,noise(sigma=0.2),identity,d,True,,,,0.5000,0.5000,0.5000,10000
condition,noise(sigma=0.2),identity,r_A,True,,,,0.5000,0.5000,0.5000,10000
condition,noise(sigma=0.2),radial,g,True,,,,0.5000,0.5000,0.5000,10000
condition,noise(sigma=0.2),radial,d,False,-0.4625,-0.4818,-0.4409,0.2101,0.1948,0.2259,10000
condition,noise(sigma=0.2),radial,r_A,False,-0.4625,-0.4818,-0.4409,0.2101,0.1948,0.2259,10000
condition,noise(sigma=0.2),pca16,g,True,,,,0.5000,0.5000,0.5000,10000
condition,noise(sigma=0.2),pca16,d,False,0.9051,0.9009,0.9096,0.9727,0.9700,0.9753,10000
condition,noise(sigma=0.2),pca16,r_A,False,0.9051,0.9009,0.9096,0.9727,0.9700,0.9753,10000
condition,noise(sigma=0.2),pca64,g,True,,,,0.5000,0.5000,0.5000,10000
condition,noise(sigma=0.2),pca64,d,False,0.8449,0.8381,0.8518,0.9573,0.9537,0.9609,10000
condition,noise(sigma=0.2),pca64,r_A,False,0.8449,0.8381,0.8518,0.9573,0.9537,0.9609,10000
condition,noise(sigma=0.2),pca256,g,True,,,,0.5000,0.5000,0.5000,10000
condition,noise(sigma=0.2),pca256,d,False,0.5292,0.5130,0.5440,0.8234,0.8137,0.8324,10000
condition,noise(sigma=0.2),pca256,r_A,False,0.5292,0.5130,0.5440,0.8234,0.8137,0.8324,10000
condition,noise(sigma=0.2),nn,g,True,,,,0.5000,0.5000,0.5000,10000
condition,noise(sigma=0.2),nn,d,False,0.8866,0.8810,0.8912,0.9631,0.9598,0.9666,10000
condition,noise(sigma=0.2),nn,r_A,False,0.8866,0.8810,0.8912,0.9631,0.9598,0.9666,10000
condition,noise(sigma=0.3),identity,g,True,,,,0.5000,0.5000,0.5000,10000
condition,noise(sigma=0.3),identity,d,True,,,,0.5000,0.5000,0.5000,10000
condition,noise(sigma=0.3),identity,r_A,True,,,,0.5000,0.5000,0.5000,10000
condition,noise(sigma=0.3),radial,g,True,,,,0.5000,0.5000,0.5000,10000
condition,noise(sigma=0.3),radial,d,False,-0.3094,-0.3309,-0.2854,0.3173,0.3016,0.3342,10000
