condition,projector,g_mean,g_max,d_mean,r_A_mean,e_mean,e_min,e_in_mean,frac_improved
noise(sigma=0.1),identity,0,0,0,0,0.0797818,0.0714454,0.0797818,0
noise(sigma=0.1),radial,2.38033e-17,1.56284e-16,0.0354385,0.0354385,0.0880059,0.0700591,0.0797818,0.4451
noise(sigma=0.1),pca16,4.88289e-16,1.43879e-15,0.129789,0.129789,0.0934826,0.0277345,0.0797818,0.3296
noise(sigma=0.1),pca64,5.48359e-16,1.51533e-15,0.106015,0.106015,0.0687249,0.0249407,0.0797818,0.7535
noise(sigma=0.1),pca256,6.29195e-16,1.75141e-15,0.0766118,0.0766118,0.057425,0.0397652,0.0797818,0.9715
noise(sigma=0.1),nn,0,0,0.118688,0.118688,0.0654856,0.00109544,0.0797818,0.7463
noise(sigma=0.2),identity,0,0,0,0,0.159617,0.143664,0.159617,0
noise(sigma=0.2),radial,2.29703e-17,1.58655e-16,0.0535666,0.0535666,0.144319,0.120734,0.159617,0.8914
noise(sigma=0.2),pca16,4.9226e-16,1.45096e-15,0.191745,0.191745,0.0960187,0.0313827,0.159617,0.976
noise(sigma=0.2),pca64,5.56164e-16,1.51172e-15,0.171566,0.171566,0.0801967,0.042028,0.159617,0.9972
noise(sigma=0.2),pca256,6.69263e-16,1.49996e-15,0.13706,0.13706,0.095746,0.0761665,0.159617,0.9997
noise(sigma=0.2),nn,0,0,0.186266,0.186266,0.066296,0.00118547,0.159617,0.9926
noise(sigma=0.3),identity,0,0,0,0,0.239265,0.215203,0.239265,0
noise(sigma=0.3),radial,2.27319e-17,1.54807e-16,0.103605,0.103605,0.185005,0.161562,0.239265,0.9994
noise(sigma=0.3),pca16,4.94157e-16,1.54837e-15,0.261605,0.261605,0.0999304,0.0333048,0.239265,0.9998
noise(sigma=0.3),pca64,5.66315e-16,1.53618e-15,0.242621,0.242621,0.0950794,0.0597135,0.239265,1
noise(sigma=0.3),pca256,7.26448e-16,1.55691e-15,0.200037,0.200037,0.136728,0.111928,0.239265,1
noise(sigma=0.3),nn,0,0,0.258782,0.258782,0.0675166,0.00109544,0.239265,0.9999
noise(sigma=0.5),identity,0,0,0,0,0.398989,0.361258,0.398989,0
noise(sigma=0.5),radial,2.28449e-17,1.50636e-16,0.231664,0.231664,0.233597,0.206634,0.398989,1
noise(sigma=0.5),pca16,5.0199e-16,1.49369e-15,0.410772,0.410772,0.110478,0.0479488,0.398989,1
noise(sigma=0.5),pca64,6.04342e-16,1.60575e-15,0.390688,0.390688,0.129629,0.0890202,0.398989,1
noise(sigma=0.5),pca256,8.83965e-16,1.89927e-15,0.328549,0.328549,0.221463,0.17598,0.398989,1
noise(sigma=0.5),nn,0,0,0.410458,0.410458,0.0714645,0.00109544,0.398989,1
blur(std=0.5),identity,0,0,0,0.0186062,0.0317409,0.0180328,0.0317409,0
blur(std=0.5),radial,2.29526e-17,1.52e-16,0.0358847,0.0397383,0.0497756,0.0186967,0.0317409,0.1386
blur(std=0.5),pca16,4.78023e-16,1.40384e-15,0.0778006,0.0780505,0.0923888,0.0254821,0.0317409,0
blur(std=0.5),pca64,5.27497e-16,1.41949e-15,0.0508633,0.0516895,0.0645214,0.0185311,0.0317409,0.0004
blur(std=0.5),pca256,5.81566e-16,1.41516e-15,0.0255288,0.0299746,0.0395525,0.0145861,0.0317409,0.1401
blur(std=0.5),nn,0,0,0.0703446,0.0623952,0.066014,0.00109544,0.0317409,0.0507
blur(std=1),identity,0,0,0,0.0297332,0.0704066,0.0251452,0.0704066,0
blur(std=1),radial,2.29839e-17,1.61275e-16,0.0474584,0.048954,0.0864994,0.0266622,0.0704066,0.1547
blur(std=1),pca16,4.52513e-16,1.57929e-15,0.053773,0.0551583,0.0967507,0.0256976,0.0704066,0.0089
blur(std=1),pca64,4.87677e-16,1.37493e-15,0.0315582,0.0378004,0.0777625,0.0220038,0.0704066,0.1843
blur(std=1),pca256,5.21755e-16,1.5921e-15,0.0155265,0.0307611,0.068064,0.0200923,0.0704066,0.8868
blur(std=1),nn,0,0,0.0776051,0.0532008,0.0762902,0.00118547,0.0704066,0.4097
blur(std=1.5),identity,0,0,0,0.0342381,0.0931584,0.0289347,0.0931584,0
blur(std=1.5),radial,2.28506e-17,1.63362e-16,0.0594431,0.0539522,0.108868,0.0298343,0.0931584,0.2221
blur(std=1.5),pca16,4.28593e-16,1.3656e-15,0.0445698,0.0483344,0.105917,0.0265557,0.0931584,0.0783
blur(std=1.5),pca64,4.53944e-16,1.36219e-15,0.0259118,0.0375571,0.0936922,0.0239443,0.0931584,0.5746
blur(std=1.5),pca256,4.83271e-16,1.32218e-15,0.0145755,0.0345873,0.0900599,0.0241603,0.0931584,0.9933
blur(std=1.5),nn,0,0,0.0853349,0.0530837,0.0905156,0.020068,0.0931584,0.5688
blur(std=2),identity,0,0,0,0.0380994,0.111769,0.0309164,0.111769,0
blur(std=2),radial,2.37585e-17,2.07464e-16,0.0711178,0.0582845,0.126674,0.031847,0.111769,0.2864
blur(std=2),pca16,4.01832e-16,1.57392e-15,0.0400346,0.0466899,0.116803,0.0285162,0.111769,0.3135
blur(std=2),pca64,4.27721e-16,1.26726e-15,0.0238133,0.0400585,0.109568,0.0265284,0.111769,0.858
blur(std=2),pca256,4.51884e-16,1.31005e-15,0.0146166,0.0383266,0.108751,0.0260686,0.111769,0.9979
blur(std=2),nn,0,0,0.0916153,0.0557368,0.105491,0.020068,0.111769,0.6266
pixel_mask(drop=0.25),identity,0,0,0,0,0.0837831,0.0193188,0.0837831,0
pixel_mask(drop=0.25),radial,2.36202e-17,1.54985e-16,0.0269969,0.0193677,0.0966415,0.0247476,0.0837831,0.0773
pixel_mask(drop=0.25),pca16,4.12246e-16,1.13003e-15,0.149158,0.0934762,0.123545,0.0295128,0.0837831,0
pixel_mask(drop=0.25),pca64,4.66403e-16,1.17397e-15,0.13081,0.078548,0.108557,0.0244129,0.0837831,0.0017
pixel_mask(drop=0.25),pca256,5.77855e-16,1.22326e-15,0.100017,0.0630238,0.107145,0.0228061,0.0837831,0.0008
pixel_mask(drop=0.25),nn,0,0,0.134618,0.081581,0.102207,0.00118547,0.0837831,0.2317
pixel_mask(drop=0.5),identity,0,0,0,0,0.151322,0.0223923,0.151322,0
pixel_mask(drop=0.5),radial,2.45488e-17,1.58285e-16,0.0266232,0.0126919,0.155271,0.0318066,0.151322,0.3288
pixel_mask(drop=0.5),pca16,4.56448e-16,1.32319e-15,0.163079,0.0875189,0.175557,0.0338267,0.151322,0.0013
pixel_mask(drop=0.5),pca64,4.95083e-16,1.22591e-15,0.150456,0.078602,0.168528,0.0264611,0.151322,0.0068
pixel_mask(drop=0.5),pca256,6.07986e-16,1.29327e-15,0.114953,0.058813,0.1696,0.0257357,0.151322,0.0016
pixel_mask(drop=0.5),nn,0,0,0.154549,0.0853516,0.166712,0.0152261,0.151322,0.2327
pixel_mask(drop=0.75),identity,0,0,0,0,0.218958,0.0280175,0.218958,0
pixel_mask(drop=0.75),radial,2.36675e-17,1.55189e-16,0.0357375,0.00792314,0.214436,0.0355135,0.218958,0.6654
