epoch,lambda,train_rec,train_idem,val_e@0.1,val_g@0.1,val_e@0.2,val_g@0.2,val_e@0.3,val_g@0.3,val_e@0.5,val_g@0.5,seconds
1,0.019907,0.1151,0.0228168,0.0686681,0.0174954,0.0701948,0.0178692,0.0728381,0.018553,0.080967,0.0206717,792.574
2,0.039907,0.0651906,0.0192405,0.0613281,0.0166646,0.0633974,0.0172863,0.0668645,0.0182519,0.0764942,0.021051,1340.72
3,0.059907,0.0603945,0.0172682,0.0577215,0.0157631,0.059926,0.0164597,0.0636457,0.0175814,0.0734764,0.0206718,335.095
4,0.079907,0.0568712,0.01514,0.0543229,0.0148724,0.0567078,0.0155852,0.0604756,0.0167451,0.0704935,0.0200102,315.376
5,0.099907,0.0540277,0.013992,0.051526,0.0130703,0.0541221,0.01383,0.0581247,0.0150499,0.0695316,0.0190633,327.193
6,0.1,0.051552,0.0127044,0.0493831,0.0117542,0.052131,0.0126017,0.0564368,0.0139934,0.072152,0.0201354,664.348
7,0.1,0.0497207,0.0121971,0.0478454,0.0114131,0.0506516,0.0123322,0.0551473,0.0138631,0.0743332,0.0211493,555.052
8,0.1,0.0482015,0.0114949,0.0463068,0.010569,0.0493258,0.0116422,0.0542265,0.0133935,0.0762644,0.0220522,528.576
9,0.1,0.0471053,0.0110219,0.04532,0.0104062,0.0484947,0.0115348,0.0536368,0.0133552,0.0767621,0.0221731,540.553
10,0.1,0.0462942,0.0106696,0.0447091,0.010124,0.0479579,0.0113365,0.0531765,0.0132608,0.0753962,0.0217902,429.873
11,0.1,0.0457188,0.0104281,0.0442448,0.0099976,0.0474797,0.011231,0.0526833,0.0132374,0.0741499,0.0215761,216.77
12,0.1,0.0453353,0.0102583,0.0438338,0.00973073,0.0471924,0.0110047,0.0525687,0.0130366,0.0744573,0.0213736,197.237
13,0.1,0.0450646,0.0101118,0.0436496,0.00954933,0.0470324,0.0108598,0.05241,0.0129686,0.0737979,0.0213532,197.928
14,0.1,0.0449363,0.0100124,0.0435652,0.00947832,0.0469515,0.0107981,0.0523426,0.0129141,0.0737269,0.0212378,221.97
15,0.1,0.0448729,0.0099474,0.0435518,0.00946007,0.0469413,0.0107808,0.0523377,0.0128997,0.0736963,0.0212117,152.429
