epoch,train_rec,train_idem,val_e@0.1,val_g@0.1,val_e@0.2,val_g@0.2,val_e@0.3,val_g@0.3,val_e@0.5,val_g@0.5,seconds
1,0.124403,,0.0716587,0.0158704,0.0735112,0.0162622,0.0766502,0.0170102,0.0870272,0.0196655,43.5283
2,0.0671075,,0.0621492,0.0175791,0.0644308,0.0179744,0.0684453,0.0187543,0.0820545,0.0216719,43.9224
3,0.0606469,,0.057982,0.0167454,0.0599703,0.0172224,0.0637499,0.0180693,0.077508,0.0213049,43.1924
4,0.056931,,0.0545214,0.0151162,0.0565055,0.0156517,0.0602601,0.0166333,0.0740503,0.0204259,41.1085
5,0.0541088,,0.051683,0.012635,0.0542948,0.0134899,0.0587745,0.0149734,0.0744803,0.0201894,70.4393
6,0.0517842,,0.0498497,0.0136377,0.0525849,0.0145163,0.0572857,0.0159597,0.0729498,0.021149,73.8805
7,0.0502363,,0.0482047,0.0124962,0.0511111,0.0134972,0.0559455,0.0151384,0.0716535,0.0206931,46.7682
8,0.0489373,,0.0471231,0.0121315,0.0500912,0.0132244,0.0549642,0.0149881,0.0707671,0.0207902,45.063
9,0.0479843,,0.0464571,0.012302,0.0494381,0.0133963,0.0543574,0.015209,0.0700452,0.0209269,35.8608
10,0.0473037,,0.0457639,0.0120263,0.0488564,0.013166,0.0538878,0.0150296,0.0699406,0.02085,36.29
11,0.0467572,,0.0453384,0.0115772,0.0485608,0.01274,0.0537574,0.0146723,0.0705093,0.0206379,46.7748
12,0.0463912,,0.0449576,0.0109835,0.0482112,0.0122435,0.0533892,0.0142869,0.07007,0.0205328,57.1651
13,0.0461397,,0.0448041,0.0111114,0.0480532,0.0123665,0.0532277,0.0144092,0.0698623,0.0205982,46.2349
14,0.0459931,,0.0447043,0.0109616,0.0479765,0.0122271,0.0531743,0.0142768,0.0699172,0.0204891,46.1901
15,0.0459277,,0.0446804,0.0108615,0.0479697,0.0121389,0.0531859,0.0142082,0.069996,0.0204642,43.2154
