epoch,lambda,train_rec,train_idem,val_e@0.1,val_g@0.1,val_e@0.2,val_g@0.2,val_e@0.3,val_g@0.3,val_e@0.5,val_g@0.5,seconds
1,1,0.218957,0.000104319,0.210749,9.93537e-06,0.210749,1.0597e-05,0.210749,1.19766e-05,0.21075,1.79325e-05,225.727
2,1,0.209561,7.12357e-06,0.210625,4.47768e-06,0.210625,5.04865e-06,0.210625,6.04546e-06,0.210625,9.28976e-06,222.337
3,1,0.209545,4.98567e-06,0.2107,3.70443e-06,0.2107,4.0963e-06,0.2107,4.78769e-06,0.2107,7.18188e-06,226.109
4,1,0.209536,3.44724e-06,0.210634,2.58707e-06,0.210634,3.06446e-06,0.210634,3.87726e-06,0.210634,6.73443e-06,226.551
5,1,0.209532,2.96201e-06,0.21067,2.30151e-06,0.21067,2.69463e-06,0.21067,3.32281e-06,0.21067,5.52136e-06,308.517
6,1,0.209492,2.54991e-06,0.21063,2.06053e-06,0.21063,2.45451e-06,0.21063,3.09255e-06,0.21063,5.27262e-06,300.361
7,1,0.209485,1.91706e-06,0.210607,1.72153e-06,0.210607,2.08918e-06,0.210607,2.69451e-06,0.210607,4.73518e-06,209.427
8,1,0.209478,1.74818e-06,0.210619,1.62124e-06,0.210619,1.96758e-06,0.210619,2.51963e-06,0.210619,4.42214e-06,218.227
9,1,0.209458,1.58382e-06,0.210616,1.29695e-06,0.210616,1.61017e-06,0.210616,2.11955e-06,0.210616,3.76209e-06,245.469
10,1,0.20946,1.55074e-06,0.210593,1.2919e-06,0.210593,1.58668e-06,0.210593,2.07253e-06,0.210592,3.6671e-06,288.852
11,1,0.209441,1.42562e-06,0.210599,1.34232e-06,0.210599,1.62046e-06,0.210599,2.07778e-06,0.210599,3.62429e-06,699.264
12,1,0.209443,1.3641e-06,0.210597,1.24471e-06,0.210597,1.51956e-06,0.210597,1.97312e-06,0.210597,3.52994e-06,218.966
13,1,0.209422,1.34818e-06,0.210616,1.20573e-06,0.210616,1.47635e-06,0.210616,1.93168e-06,0.210616,3.51839e-06,353.22
14,1,0.209416,1.32245e-06,0.210595,1.17774e-06,0.210595,1.44879e-06,0.210595,1.89997e-06,0.210595,3.42594e-06,847.838
15,1,0.209417,1.3209e-06,0.210594,1.18267e-06,0.210594,1.45334e-06,0.210594,1.90304e-06,0.210594,3.42905e-06,210.656
