epoch,lambda,train_rec,train_idem,val_e@0.1,val_g@0.1,val_e@0.2,val_g@0.2,val_e@0.3,val_g@0.3,val_e@0.5,val_g@0.5,seconds
1,0.19907,0.110693,0.0222682,0.0668823,0.0196666,0.068371,0.0200725,0.0707309,0.0207189,0.0773847,0.0227789,267.098
2,0.39907,0.0637843,0.0183586,0.0598775,0.0170298,0.0617573,0.0175208,0.0646292,0.0184185,0.0727376,0.0209621,241.123
3,0.59907,0.0592458,0.0163427,0.0566911,0.0144695,0.0585819,0.0151021,0.0616474,0.0160975,0.0700146,0.0190033,244.88
4,0.79907,0.0565664,0.0148991,0.0555979,0.0137436,0.0573297,0.0144223,0.0602777,0.0154153,0.0684028,0.0185581,240.003
5,0.99907,0.0556308,0.0143798,0.0552896,0.0140331,0.0568715,0.0146914,0.0596519,0.0156545,0.0677692,0.0188778,239.129
6,1,0.0550867,0.0141229,0.0540575,0.0138789,0.0556205,0.0144737,0.058448,0.0154003,0.0672854,0.0186143,239.695
7,1,0.0542693,0.0132242,0.0535982,0.0129865,0.0550446,0.0135562,0.0577362,0.014578,0.0663295,0.0181483,239.91
8,1,0.0533768,0.0125379,0.0529155,0.0134184,0.0544228,0.0139631,0.0572574,0.0149351,0.0669069,0.0184569,241.152
9,1,0.052828,0.0120422,0.0522684,0.0119569,0.053789,0.0125354,0.0565504,0.0136193,0.0661756,0.0173571,243.282
10,1,0.0523836,0.0116104,0.0521273,0.0124894,0.0537156,0.0129948,0.056578,0.0139641,0.0668229,0.017489,243.876
11,1,0.0521007,0.0113421,0.0515619,0.0108492,0.0530711,0.0114677,0.0558004,0.0126403,0.065343,0.0167621,243.06
12,1,0.0519189,0.0110217,0.0515087,0.0106157,0.0529855,0.0112353,0.0556947,0.0124192,0.0652314,0.0165877,243.176
13,1,0.051762,0.0107954,0.0514673,0.0106231,0.0529678,0.011234,0.0556867,0.0124176,0.0653689,0.0165699,241.69
14,1,0.0516845,0.0106598,0.0514921,0.0104566,0.0529957,0.0110739,0.0557203,0.0122496,0.065473,0.016414,242.685
15,1,0.0517139,0.0106118,0.0514539,0.0105081,0.0529714,0.0111202,0.0557185,0.0122898,0.0655579,0.0164363,268.199
