epoch,lambda,train_rec,train_idem,val_e@0.1,val_g@0.1,val_e@0.2,val_g@0.2,val_e@0.3,val_g@0.3,val_e@0.5,val_g@0.5,seconds
1,0.19907,0.110748,0.0203446,0.0674406,0.0150239,0.0689113,0.0153747,0.0712561,0.0159909,0.0778431,0.0179094,282.51
2,0.39907,0.0643773,0.0144357,0.0599042,0.0103789,0.0619193,0.0111147,0.0651623,0.0122685,0.0747868,0.0156132,268.374
3,0.59907,0.0592181,0.0123288,0.056765,0.0120709,0.0588827,0.0129443,0.0625523,0.014351,0.0748806,0.0188095,264.288
4,0.79907,0.0555834,0.011224,0.0527794,0.00955388,0.0556919,0.0108502,0.0604483,0.0127925,0.0751473,0.0184816,263.544
5,0.99907,0.0530518,0.0107031,0.050614,0.0102788,0.0540556,0.011477,0.0595649,0.0134121,0.0759152,0.0192699,263.229
6,1,0.0511414,0.00992035,0.0486023,0.00881218,0.0523467,0.0102512,0.0582127,0.0123829,0.0751496,0.0186242,265.06
7,1,0.0497166,0.00945264,0.0472498,0.00863928,0.0513373,0.0101027,0.0575297,0.0122088,0.0751305,0.0183431,265.809
8,1,0.0486415,0.00906779,0.0462834,0.0082755,0.0505247,0.00984448,0.0568709,0.012063,0.0749912,0.0184817,266.8
9,1,0.0478578,0.00883214,0.0455404,0.0079936,0.0499707,0.00963126,0.0564785,0.0119133,0.0749488,0.0184047,268.165
10,1,0.0473083,0.00862196,0.045023,0.00788702,0.0495879,0.00955439,0.0562375,0.0118629,0.075017,0.0183946,264.726
11,1,0.0469089,0.00849921,0.0446265,0.0077818,0.0493328,0.00948016,0.0561486,0.0118197,0.0753721,0.0183938,267.333
12,1,0.0466107,0.00838944,0.0443918,0.00767429,0.0491512,0.00941065,0.0560236,0.0117771,0.0753281,0.018405,266.884
13,1,0.0464738,0.00832225,0.0442558,0.00759336,0.0490669,0.00935256,0.055995,0.0117417,0.0753897,0.0183729,269.068
14,1,0.0463749,0.00826597,0.0441973,0.00755665,0.0490272,0.00932457,0.055981,0.0117198,0.0754529,0.0183701,268.378
15,1,0.0463434,0.00823309,0.0441823,0.00755197,0.049022,0.00932092,0.0559835,0.0117156,0.0754685,0.0183581,267.326
