epoch,lambda,train_rec,train_idem,val_e@0.1,val_g@0.1,val_e@0.2,val_g@0.2,val_e@0.3,val_g@0.3,val_e@0.5,val_g@0.5,seconds
1,0.19907,0.111099,0.0203137,0.0677869,0.0147412,0.0692164,0.0150798,0.0715841,0.015703,0.0778777,0.0176325,967.567
2,0.39907,0.0651371,0.0153788,0.0615091,0.0135818,0.0631587,0.0140567,0.0657182,0.0147836,0.0733753,0.0170688,357.098
3,0.59907,0.0597754,0.0112367,0.0575913,0.0127998,0.0595588,0.0133471,0.0627829,0.0141839,0.0734669,0.0171889,308.874
4,0.79907,0.0567903,0.0106099,0.0546124,0.00935657,0.0569135,0.0101404,0.0606235,0.0113741,0.0725755,0.0153185,313.224
5,0.99907,0.0546859,0.0095728,0.0532826,0.00946907,0.0556126,0.0102236,0.0594803,0.0114394,0.0716951,0.0153915,470.973
6,1,0.0532581,0.00894929,0.0516526,0.00820474,0.0540632,0.00897546,0.0579958,0.0102025,0.0703402,0.0142238,476.542
7,1,0.0520932,0.00831703,0.0505496,0.00743479,0.0531026,0.00824995,0.0571915,0.0095273,0.0698236,0.0137212,533.479
8,1,0.0511318,0.00756453,0.0497222,0.00706804,0.0524128,0.00789256,0.0566642,0.00920091,0.0698082,0.0134585,469.927
9,1,0.0504667,0.00734114,0.0491773,0.00691765,0.0518745,0.00774374,0.0561097,0.00905317,0.0692603,0.0133559,570.05
10,1,0.0499786,0.00709005,0.0486959,0.00675282,0.0514565,0.00759455,0.0557689,0.00892011,0.0692278,0.0132491,790.866
11,1,0.0496072,0.00693421,0.0483511,0.00665329,0.0511992,0.00749162,0.0556038,0.0088129,0.0692353,0.0131438,783.178
12,1,0.0493517,0.00679275,0.0481913,0.00650043,0.051015,0.00735922,0.0554116,0.00870666,0.0690112,0.0131084,702.134
13,1,0.0492009,0.00670853,0.0480479,0.00642979,0.0509174,0.00729961,0.0553524,0.00865047,0.0690621,0.013046,261.458
14,1,0.0491255,0.00664341,0.0480112,0.00639769,0.0508729,0.00726985,0.0553073,0.00862911,0.0690246,0.0130366,245.766
15,1,0.0490957,0.00661083,0.0479962,0.00638746,0.0508664,0.00726092,0.0553074,0.00862247,0.0690379,0.0130312,229.568
