epoch,lambda,train_rec,train_idem,val_e@0.1,val_g@0.1,val_e@0.2,val_g@0.2,val_e@0.3,val_g@0.3,val_e@0.5,val_g@0.5,seconds
1,0,0.0737407,,0.0328729,0.0151955,0.0444705,0.0199231,0.0596308,0.0263399,0.0991322,0.04141,418.912
2,0,0.0370314,,0.0297454,0.0141917,0.0411375,0.0194968,0.0574098,0.0268994,0.103048,0.0431361,384.927
3,0,0.0346471,,0.0283269,0.013584,0.0390204,0.0189903,0.0558489,0.0273622,0.104052,0.0446514,360.765
4,0,0.0333174,,0.0273805,0.0125538,0.0386716,0.0179761,0.0565532,0.0264869,0.106313,0.04297,324.866
5,0,0.0325966,,0.026728,0.0121438,0.0373213,0.0176758,0.0546311,0.0268071,0.104261,0.0448567,326.663
6,0,0.031979,,0.026193,0.0119397,0.0369949,0.0176055,0.0548879,0.0270893,0.105543,0.045045,310.24
7,0,0.0316199,,0.0257661,0.011534,0.0367587,0.0173762,0.0550309,0.027111,0.106182,0.0450125,336.632
8,0,0.0313575,,0.0255963,0.0114201,0.0364646,0.0170304,0.0545659,0.0265435,0.105459,0.0442056,344.714
9,0,0.0310935,,0.025466,0.0112858,0.0362818,0.0169156,0.0544643,0.0265683,0.105427,0.0442022,391.273
10,0,0.0309711,,0.02545,0.011398,0.0359393,0.0169643,0.0537411,0.0268127,0.104909,0.0454405,326.819
11,0,0.0308144,,0.0252815,0.0111806,0.0358781,0.0167937,0.0537975,0.0266512,0.104957,0.0450098,304.363
12,0,0.0307374,,0.0252508,0.0110318,0.035801,0.0165436,0.0535611,0.0262501,0.10451,0.0446753,295.725
13,0,0.0306731,,0.0252664,0.0110409,0.0356915,0.0165233,0.053243,0.0262447,0.103986,0.0449969,301.147
14,0,0.0306857,,0.0252604,0.011053,0.035663,0.0165307,0.0532139,0.0262609,0.103987,0.0449473,292.745
15,0,0.030661,,0.0252346,0.0110536,0.0356812,0.0165464,0.0533001,0.0262841,0.104138,0.0448668,252.863
