epoch,lambda,train_rec,train_idem,val_e@0.1,val_g@0.1,val_e@0.2,val_g@0.2,val_e@0.3,val_g@0.3,val_e@0.5,val_g@0.5,seconds
1,0.19907,0.0715077,0.023253,0.0319295,0.0139375,0.0439381,0.0187882,0.0594026,0.0248412,0.0976532,0.0369208,470.59
2,0.39907,0.0365828,0.0158944,0.0294771,0.01256,0.0410567,0.0174594,0.0568623,0.0238818,0.0986338,0.0369131,330.257
3,0.59907,0.0346502,0.0144566,0.0287337,0.011682,0.0390371,0.0160036,0.0539341,0.0226722,0.0967496,0.0376469,353.943
4,0.79907,0.0336101,0.0128276,0.027934,0.0102189,0.0384058,0.0137237,0.0527279,0.0193251,0.0947182,0.0335265,372.476
5,0.99907,0.0331889,0.0109549,0.0276933,0.00882596,0.0379881,0.0108704,0.0504946,0.0142967,0.0882256,0.0250448,367.122
6,1,0.0327476,0.00893932,0.0271921,0.00765348,0.0376296,0.00859168,0.0497237,0.0108171,0.0868939,0.0197271,428.362
7,1,0.0322712,0.00766335,0.0268993,0.00690526,0.0372709,0.00754379,0.0493219,0.0096432,0.0849172,0.0184081,565.497
8,1,0.031784,0.00677171,0.0265447,0.00624789,0.0369298,0.00659185,0.0489005,0.00861392,0.0839725,0.0170347,507.467
9,1,0.0315468,0.00618277,0.0265123,0.00595208,0.0367332,0.00598909,0.0484126,0.00731843,0.0821938,0.0139126,351.559
10,1,0.0313359,0.00575014,0.0261429,0.00558897,0.036521,0.0056057,0.0484696,0.00718508,0.0824714,0.0141386,345.938
11,1,0.0312011,0.00547086,0.0260991,0.00543044,0.0364138,0.00535255,0.0483535,0.00666287,0.0819474,0.0126732,321.134
12,1,0.0311632,0.0052812,0.0259337,0.00525636,0.0363323,0.00526208,0.048341,0.00678848,0.0819815,0.0131846,319.671
13,1,0.0310778,0.00517228,0.0259686,0.00518399,0.0363109,0.00509988,0.0482234,0.0064261,0.0815435,0.0122756,316.01
14,1,0.0310576,0.00511561,0.0259502,0.00513239,0.0362963,0.00507735,0.0481923,0.00644632,0.0815914,0.0123852,327.696
15,1,0.031016,0.00509582,0.0259598,0.00513158,0.036296,0.00506005,0.0481866,0.00640338,0.0815575,0.012288,347.803
